subject,rater,session,roi,side,intersection,union,id_vol,truth_vol
snsx32_v0.2_i09,1,1,RN,left,2389,2715,2655,2449
snsx32_v0.2_i09,1,1,RN,right,2435,2741,2707,2469
snsx32_v0.2_i09,1,1,STN,left,1061,1285,1218,1128
snsx32_v0.2_i09,1,1,STN,right,952,1264,1154,1062
snsx32_v0.2_i09,1,2,RN,left,2441,2541,2533,2449
snsx32_v0.2_i09,1,2,RN,right,2438,2630,2599,2469
snsx32_v0.2_i09,1,2,STN,left,1108,1258,1238,1128
snsx32_v0.2_i09,1,2,STN,right,923,1169,1030,1062
snsx32_v0.2_i09,2,1,RN,left,2449,2594,2594,2449
snsx32_v0.2_i09,2,1,RN,right,2468,2701,2700,2469
snsx32_v0.2_i09,2,1,STN,left,1127,1349,1348,1128
snsx32_v0.2_i09,2,1,STN,right,1062,1309,1309,1062
snsx32_v0.2_i09,2,2,RN,left,2449,2524,2524,2449
snsx32_v0.2_i09,2,2,RN,right,2468,2575,2574,2469
snsx32_v0.2_i09,2,2,STN,left,1128,1311,1311,1128
snsx32_v0.2_i09,2,2,STN,right,1062,1256,1256,1062
snsx32_v0.2_i09,3,1,RN,left,2197,2455,2203,2449
snsx32_v0.2_i09,3,1,RN,right,2203,2476,2210,2469
snsx32_v0.2_i09,3,1,STN,left,960,1214,1046,1128
snsx32_v0.2_i09,3,1,STN,right,892,1135,965,1062
snsx32_v0.2_i09,3,2,RN,left,2201,2467,2219,2449
snsx32_v0.2_i09,3,2,RN,right,2199,2501,2231,2469
snsx32_v0.2_i09,3,2,STN,left,778,1139,789,1128
snsx32_v0.2_i09,3,2,STN,right,802,1075,815,1062
