subject,rater,session,roi,side,intersection,union,id_vol,truth_vol
snsx32_v0.2_i09,1,1,RN,left,2408,2655,2655,2408
snsx32_v0.2_i09,1,1,RN,right,2477,2707,2707,2477
snsx32_v0.2_i09,1,1,STN,left,1049,1218,1218,1049
snsx32_v0.2_i09,1,1,STN,right,874,1154,1154,874
snsx32_v0.2_i09,1,2,RN,left,2408,2533,2533,2408
snsx32_v0.2_i09,1,2,RN,right,2477,2599,2599,2477
snsx32_v0.2_i09,1,2,STN,left,1049,1238,1238,1049
snsx32_v0.2_i09,1,2,STN,right,874,1030,1030,874
snsx32_v0.2_i09,2,1,RN,left,2524,2594,2594,2524
snsx32_v0.2_i09,2,1,RN,right,2572,2700,2700,2572
snsx32_v0.2_i09,2,1,STN,left,1309,1348,1348,1309
snsx32_v0.2_i09,2,1,STN,right,1253,1309,1309,1253
snsx32_v0.2_i09,2,2,RN,left,2524,2524,2524,2524
snsx32_v0.2_i09,2,2,RN,right,2572,2574,2574,2572
snsx32_v0.2_i09,2,2,STN,left,1309,1311,1311,1309
snsx32_v0.2_i09,2,2,STN,right,1253,1256,1256,1253
snsx32_v0.2_i09,3,1,RN,left,2093,2203,2203,2093
snsx32_v0.2_i09,3,1,RN,right,2117,2210,2210,2117
snsx32_v0.2_i09,3,1,STN,left,762,1046,1046,762
snsx32_v0.2_i09,3,1,STN,right,779,965,965,779
snsx32_v0.2_i09,3,2,RN,left,2093,2219,2219,2093
snsx32_v0.2_i09,3,2,RN,right,2117,2231,2231,2117
snsx32_v0.2_i09,3,2,STN,left,762,789,789,762
snsx32_v0.2_i09,3,2,STN,right,779,815,815,779
