subject,rater,session,roi,side,intersection,union,id_vol,truth_vol
snsx32_v0.2_i09,exprater,1,ml,left,265,395,395,265
snsx32_v0.2_i09,exprater,1,ml,right,221,255,255,221
snsx32_v0.2_i09,exprater,1,hfields,left,1063,1360,1360,1063
snsx32_v0.2_i09,exprater,1,hfields,right,1068,1340,1340,1068
snsx32_v0.2_i09,exprater,1,hf,left,356,428,428,356
snsx32_v0.2_i09,exprater,1,hf,right,374,443,443,374
snsx32_v0.2_i09,exprater,1,ft,left,580,721,721,580
snsx32_v0.2_i09,exprater,1,ft,right,577,706,706,577
snsx32_v0.2_i09,exprater,1,fl,left,347,528,528,347
snsx32_v0.2_i09,exprater,1,fl,right,356,520,520,356
snsx32_v0.2_i09,exprater,1,fct,left,913,1300,1300,913
snsx32_v0.2_i09,exprater,1,fct,right,906,1292,1292,906
snsx32_v0.2_i09,exprater,1,cZI,left,641,731,731,641
snsx32_v0.2_i09,exprater,1,cZI,right,570,670,670,570
snsx32_v0.2_i09,exprater,1,rZI,left,1133,1283,1283,1133
snsx32_v0.2_i09,exprater,1,rZI,right,1145,1320,1320,1145
snsx32_v0.2_i09,exprater,1,ZI,left,1773,1982,1982,1773
snsx32_v0.2_i09,exprater,1,ZI,right,1740,1965,1965,1740
snsx32_v0.2_i09,exprater,2,ml,left,265,276,276,265
snsx32_v0.2_i09,exprater,2,ml,right,221,259,259,221
snsx32_v0.2_i09,exprater,2,hfields,left,1063,1278,1278,1063
snsx32_v0.2_i09,exprater,2,hfields,right,1068,1282,1282,1068
snsx32_v0.2_i09,exprater,2,hf,left,356,480,480,356
snsx32_v0.2_i09,exprater,2,hf,right,374,503,503,374
snsx32_v0.2_i09,exprater,2,ft,left,580,739,739,580
snsx32_v0.2_i09,exprater,2,ft,right,577,742,742,577
snsx32_v0.2_i09,exprater,2,fl,left,347,402,402,347
snsx32_v0.2_i09,exprater,2,fl,right,356,402,402,356
snsx32_v0.2_i09,exprater,2,fct,left,913,1011,1011,913
snsx32_v0.2_i09,exprater,2,fct,right,906,1013,1013,906
snsx32_v0.2_i09,exprater,2,cZI,left,641,720,720,641
snsx32_v0.2_i09,exprater,2,cZI,right,570,689,689,570
snsx32_v0.2_i09,exprater,2,rZI,left,1133,1664,1664,1133
snsx32_v0.2_i09,exprater,2,rZI,right,1145,1620,1620,1145
snsx32_v0.2_i09,exprater,2,ZI,left,1773,2301,2301,1773
snsx32_v0.2_i09,exprater,2,ZI,right,1740,2261,2261,1740
