roi,side,vol_mm,t1map,MCP_x,MCP_y,MCP_z
cZI,L,87.4±8.1,1272.9±34.7,-12.42±0.78,-8.04±1.15,-5.16±1.18
cZI,R,79.8±7.6,1286.6±36.5,12.59±0.81,-7.68±1.21,-5.12±1.09
rZI,L,168.7±16.6,1250.4±36.8,-6.97±0.54,1.69±0.53,-0.79±0.53
rZI,R,169.8±16.3,1266.0±36.9,7.11±0.61,2.44±0.61,-0.88±0.59
ZI,L,254.3±22.5,1258.6±34.4,-8.82±0.56,-1.61±0.63,-2.27±0.52
ZI,R,250.6±22.5,1272.3±34.5,8.86±0.61,-0.81±0.73,-2.28±0.46
fct,L,136.0±12.8,1120.5±30.5,-10.24±0.68,-5.24±0.78,-2.11±0.83
fct,R,135.4±14.0,1135.3±29.1,10.00±0.67,-4.83±0.88,-2.62±0.73
fl,L,51.8±5.9,1178.9±34.9,-6.09±0.56,3.36±0.50,-0.49±0.65
fl,R,52.2±5.6,1181.4±34.5,6.65±0.64,3.81±0.63,-0.51±0.76
ft,L,84.0±9.2,1135.2±35.6,-7.24±0.59,-0.12±0.60,1.31±0.43
ft,R,84.5±8.6,1150.9±33.4,7.58±0.69,0.39±0.73,1.14±0.46
hf,L,53.4±5.5,1142.8±41.8,-5.00±0.47,-0.08±0.52,-1.24±0.38
hf,R,55.7±5.6,1148.2±40.9,5.13±0.53,0.39±0.62,-1.28±0.42
hfields,L,153.4±16.2,1154.1±35.0,-6.46±0.55,1.13±0.53,0.29±0.46
hfields,R,154.0±15.8,1162.2±34.1,6.83±0.63,1.55±0.65,0.16±0.51
ml,L,38.6±3.8,1188.4±34.6,-9.04±0.73,-10.58±0.91,-3.39±1.42
ml,R,29.2±3.0,1192.2±27.7,8.96±0.77,-10.14±1.03,-3.40±1.31
RN,L,292.1±27.1,1093.2±33.4,-4.56±0.48,-5.92±1.05,-6.56±0.89
RN,R,300.7±28.3,1096.6±32.4,4.53±0.52,-5.65±1.09,-6.54±0.84
STN,L,144.2±13.3,1045.8±27.3,-10.00±0.66,-0.47±0.79,-3.15±0.57
STN,R,133.6±12.7,1078.2±29.2,10.23±0.70,-0.01±0.88,-3.29±0.57
