roi,side,vol_mm,t1map,MCP_x,MCP_y,MCP_z
cZI,L,79.5±9.7,1453.8±60.1,-12.32±0.87,-9.11±0.97,-5.14±1.14
cZI,R,68.4±9.3,1435.5±61.6,12.88±0.94,-8.01±1.17,-5.36±1.09
rZI,L,138.0±18.5,1423.3±55.4,-7.07±0.69,1.41±0.55,-1.64±0.42
rZI,R,138.2±19.3,1406.7±49.8,7.08±0.63,2.65±0.69,-2.00±0.49
ZI,L,217.3±25.9,1434.9±54.6,-8.99±0.70,-2.44±0.75,-2.91±0.53
ZI,R,209.9±26.9,1415.0±52.6,9.01±0.67,-0.98±0.92,-3.17±0.52
fct,L,111.1±13.5,1300.4±46.9,-10.42±0.77,-6.19±0.80,-2.50±0.89
fct,R,111.8±13.3,1264.1±48.8,10.40±0.82,-5.07±0.96,-3.22±0.79
fl,L,42.8±6.5,1353.6±45.0,-6.38±0.71,2.73±0.56,-1.68±0.43
fl,R,43.0±6.6,1328.3±42.9,6.67±0.67,3.69±0.71,-1.86±0.55
ft,L,69.4±8.8,1327.5±47.9,-7.33±0.74,-0.30±0.62,0.56±0.46
ft,R,69.8±11.1,1284.6±55.3,8.06±0.77,0.71±0.68,0.23±0.49
hf,L,44.9±5.1,1348.1±47.8,-5.03±0.63,-0.51±0.50,-1.97±0.41
hf,R,45.6±6.4,1285.7±53.6,5.41±0.60,0.25±0.64,-2.27±0.44
hfields,L,129.2±16.3,1340.1±44.9,-6.58±0.70,0.74±0.57,-0.66±0.39
hfields,R,130.1±19.1,1298.1±49.3,7.13±0.69,1.60±0.67,-0.92±0.47
ml,L,31.4±3.8,1392.1±56.7,-8.68±0.71,-11.40±0.81,-3.14±1.26
ml,R,25.6±3.1,1362.3±57.8,9.67±0.91,-10.37±1.04,-3.45±1.10
RN,L,292.5±28.1,1258.2±55.1,-4.47±0.49,-6.95±0.83,-6.84±0.80
RN,R,299.5±33.3,1241.4±57.3,4.83±0.56,-6.36±0.91,-6.89±0.75
STN,L,136.9±18.1,1195.7±46.4,-10.21±0.81,-1.53±0.73,-3.83±0.58
STN,R,127.1±16.5,1179.2±49.1,10.58±0.77,-0.36±0.93,-4.19±0.60
