subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ZI,L,796,274.400055,-9.338006,2.739914,-23.304786,1222.195980,118.771613,
sub-C002,ZI,L,752,259.232208,-6.486720,-10.277918,-41.998210,1223.562500,115.627743,
sub-C003,ZI,L,765,263.710754,-3.252055,-12.114609,-20.292973,1263.610458,129.829076,
sub-C004,ZI,L,798,275.089508,-8.995303,-5.045142,-34.846489,1260.008772,129.700045,
sub-C005,ZI,L,754,259.921692,-5.677600,-6.947743,-18.498049,1315.363395,140.012352,
sub-C006,ZI,L,606,208.902573,-6.508471,-0.948888,-16.919655,1251.891089,132.184424,
sub-C007,ZI,L,696,239.925095,1.200617,-4.944052,-48.699479,1214.281609,141.508709,
sub-C008,ZI,L,768,264.747803,-8.026997,-9.429926,-14.996230,1285.305990,119.930027,
sub-C009,ZI,L,852,293.704620,-9.149041,-1.688565,-20.170350,1241.638498,121.791912,
sub-C010,ZI,L,640,220.620758,-7.151369,-10.756312,-45.713376,1238.623437,119.886790,
sub-C011,ZI,L,774,266.813232,-7.167509,-12.805540,-27.712147,1302.160207,118.639115,
sub-C012,ZI,L,667,229.930725,-5.739600,-12.353649,-29.099170,1270.917541,121.775778,
sub-C013,ZI,L,779,268.539795,-8.080214,-5.272301,-19.415224,1261.664955,123.888630,
sub-C015,ZI,L,626,215.797058,-6.845352,-20.935952,-11.138074,1295.630990,122.438032,
sub-C016,ZI,L,720,248.201065,-9.335846,-2.032487,-15.016258,1350.654167,139.660272,
sub-C018,ZI,L,668,230.275436,-4.059832,-15.279866,-12.485414,1240.411677,114.804154,
sub-C019,ZI,L,751,258.887512,-8.912749,-12.759849,-22.349517,1269.588549,125.075592,
sub-C020,ZI,L,773,266.468536,-4.686478,-7.514530,-18.575186,1216.830530,120.958514,
sub-C021,ZI,L,677,233.377960,-7.028988,-9.527227,-7.976435,1250.527326,105.990641,
sub-C022,ZI,L,662,228.204605,-7.211150,-8.192013,-43.494366,1242.413897,129.219878,
sub-C023,ZI,L,797,274.744781,-5.528806,-7.476380,-26.363114,1272.207026,110.482990,
sub-C024,ZI,L,717,247.164230,-4.976099,-9.790345,-16.698725,1280.867503,107.750801,
sub-C025,ZI,L,698,240.614532,-4.237828,-19.299253,-25.204567,1217.345272,117.112178,
sub-C026,ZI,L,758,261.300568,-7.863349,-9.804916,-14.340750,1286.614776,132.563285,
sub-C027,ZI,L,636,219.244278,-8.047258,-12.618340,-18.656338,1267.551887,130.507992,
sub-C028,ZI,L,765,263.710754,-7.875135,-10.353997,-37.885734,1278.592157,125.340618,
sub-C029,ZI,L,833,287.154877,-6.344997,-6.432669,-44.720681,1174.116447,132.622148,
sub-C030,ZI,L,729,251.303589,-3.519791,-3.164542,-21.693436,1258.735254,116.166681,
sub-C031,ZI,L,866,298.530762,-8.939711,-12.933995,-36.485854,1250.123557,156.579167,
sub-C032,ZI,L,764,263.368896,-4.906401,-13.897151,-31.891348,1222.259162,106.929165,
sub-C033,ZI,L,758,261.297729,-7.842847,-11.976054,-11.682359,1286.216359,114.904110,
sub-C034,ZI,L,761,262.331879,-7.932445,-17.504732,-13.375199,1263.509855,114.408008,
