subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ZI,R,809,278.881500,9.684908,3.635824,-23.551264,1246.718171,159.321627,
sub-C002,ZI,R,779,268.539795,9.937491,-9.633991,-42.098996,1268.237484,136.188263,
sub-C003,ZI,R,722,248.887817,13.678738,-10.270106,-18.800276,1305.524931,150.795321,
sub-C004,ZI,R,776,267.505585,10.295694,-3.973794,-34.086443,1276.944588,145.422768,
sub-C005,ZI,R,729,251.303589,12.868918,-7.705823,-18.674611,1317.024691,136.487348,
sub-C006,ZI,R,596,205.455322,9.306265,-1.155042,-17.534026,1253.511745,126.203244,
sub-C007,ZI,R,716,246.819489,18.226639,-5.254233,-49.743481,1238.703911,138.473623,
sub-C008,ZI,R,801,276.123688,11.009126,-8.495202,-14.384467,1308.841448,183.939449,
sub-C009,ZI,R,867,298.875488,9.282425,-1.245318,-19.568982,1267.342561,121.807411,
sub-C010,ZI,R,617,212.692230,10.837282,-10.199091,-45.728288,1247.985413,122.955388,
sub-C011,ZI,R,716,246.819489,10.662582,-12.008908,-28.608096,1304.192737,124.726315,
sub-C012,ZI,R,696,239.927704,10.802293,-11.132154,-28.890590,1289.958333,126.789793,
sub-C013,ZI,R,751,258.887512,8.508137,-4.144773,-19.049885,1276.299601,129.415422,
sub-C015,ZI,R,607,209.247299,11.252781,-19.148817,-9.778372,1312.060956,130.338381,
sub-C016,ZI,R,727,250.614151,7.613366,-0.078050,-15.232587,1333.220083,142.212345,
sub-C018,ZI,R,652,224.759872,13.241655,-15.069187,-13.094805,1257.998466,128.171850,
sub-C019,ZI,R,748,257.853333,8.891797,-12.905040,-23.494746,1296.316845,148.441659,
sub-C020,ZI,R,729,251.300858,11.430202,-4.599063,-19.426981,1225.470508,126.349439,
sub-C021,ZI,R,689,237.514648,9.919949,-9.209429,-6.796759,1254.867925,110.025981,
sub-C022,ZI,R,672,231.651810,9.955857,-6.538997,-41.833236,1226.191964,119.635788,
sub-C023,ZI,R,768,264.747803,11.274129,-7.460911,-26.787741,1280.227865,107.611118,
sub-C024,ZI,R,746,257.161102,13.609604,-8.092892,-16.202415,1301.246649,122.526834,
sub-C025,ZI,R,718,247.508926,13.374813,-19.702880,-25.871772,1254.096100,124.055823,
sub-C026,ZI,R,738,254.406097,11.288214,-10.547410,-14.302762,1300.681572,128.109552,
sub-C027,ZI,R,581,200.284485,8.457982,-11.842862,-18.757445,1255.299484,109.553985,
sub-C028,ZI,R,748,257.850525,12.161768,-8.785599,-37.925429,1295.872995,144.279630,
sub-C029,ZI,R,811,279.570923,9.761397,-7.229041,-44.677226,1168.389642,101.883635,
sub-C030,ZI,R,741,255.440262,14.032930,-2.127030,-23.219806,1304.631579,145.462136,
sub-C031,ZI,R,803,276.813141,10.819925,-12.420634,-36.755427,1230.976339,119.681157,
sub-C032,ZI,R,758,261.300568,12.627297,-13.132081,-32.033417,1243.649077,111.581904,
sub-C033,ZI,R,742,255.782196,9.547370,-11.306325,-11.823160,1284.477089,132.786553,
sub-C034,ZI,R,707,243.716995,10.914965,-14.009639,-13.080167,1285.328147,125.222611,
