subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,cZI,R,262,90.317612,13.390420,-3.403856,-25.968028,1244.393130,102.471013,
sub-C002,cZI,R,248,85.491478,13.691921,-15.772355,-46.382007,1246.963710,81.025229,
sub-C003,cZI,R,217,74.804230,17.727993,-17.752367,-20.695637,1313.359447,96.389737,
sub-C004,cZI,R,236,81.354797,14.124161,-11.467226,-36.887989,1305.059322,86.253885,
sub-C005,cZI,R,218,75.149765,15.906936,-15.139226,-20.808973,1312.894495,95.231529,
sub-C006,cZI,R,184,63.429165,13.288167,-8.493591,-19.863771,1268.565217,90.606976,
sub-C007,cZI,R,240,82.732788,21.536031,-11.791199,-53.326219,1233.320833,81.322188,
sub-C008,cZI,R,260,89.628166,15.492218,-14.730407,-18.269847,1327.453846,108.390265,
sub-C009,cZI,R,263,90.662331,13.662890,-9.018121,-21.097570,1305.064639,105.349435,
sub-C010,cZI,R,207,71.357033,14.795337,-15.889956,-49.245884,1258.149758,84.991729,
sub-C011,cZI,R,243,83.766953,14.322410,-18.570953,-31.245701,1335.518519,93.512024,
sub-C012,cZI,R,213,73.426155,14.559917,-18.228996,-30.110253,1314.718310,91.611647,
sub-C013,cZI,R,232,79.975899,12.180176,-11.348622,-22.798103,1285.073276,98.300796,
sub-C015,cZI,R,204,70.323639,15.382677,-25.083076,-12.040281,1342.122549,99.687589,
sub-C016,cZI,R,223,76.873383,11.926252,-7.108882,-17.590756,1356.919283,110.141730,
sub-C018,cZI,R,220,75.839218,16.271586,-21.870646,-14.856060,1272.750000,84.251397,
sub-C019,cZI,R,240,82.733688,12.596658,-20.029676,-26.092113,1332.337500,100.668221,
sub-C020,cZI,R,221,76.183105,15.271997,-11.958287,-21.795703,1237.416290,88.019050,
sub-C021,cZI,R,231,79.631172,13.031396,-16.797899,-8.168518,1273.865801,91.191362,
sub-C022,cZI,R,210,72.391190,13.810007,-12.688329,-46.409468,1252.276190,100.014066,
sub-C023,cZI,R,226,77.907562,14.733902,-15.191409,-29.406358,1320.995575,89.702347,
sub-C024,cZI,R,243,83.766953,17.250555,-14.717173,-18.080484,1339.436214,111.042017,
sub-C025,cZI,R,241,83.077515,16.948475,-26.375484,-28.512969,1260.834025,85.575244,
sub-C026,cZI,R,233,80.320625,14.840340,-17.178347,-18.236740,1311.871245,92.228683,
sub-C027,cZI,R,192,66.186951,12.417282,-17.649856,-21.952845,1271.109375,85.449679,
sub-C028,cZI,R,234,80.664467,15.548790,-15.817344,-40.917179,1283.465812,97.760113,
sub-C029,cZI,R,275,94.799011,12.884583,-14.637232,-48.401053,1216.076364,93.593846,
sub-C030,cZI,R,225,77.562843,16.992321,-9.827993,-25.499236,1279.622222,69.977767,
sub-C031,cZI,R,282,97.212090,15.029733,-17.830535,-41.277164,1243.907801,94.511360,
sub-C032,cZI,R,212,73.081421,16.525353,-21.004450,-35.111824,1268.349057,82.693867,
sub-C033,cZI,R,234,80.664467,13.151063,-18.359339,-15.481096,1285.068376,92.956931,
sub-C034,cZI,R,241,83.077515,15.463230,-19.599852,-16.424780,1273.261411,81.298486,
