subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fct,L,439,151.333710,-10.944656,-0.545624,-22.497280,1084.965831,49.598628,
sub-C002,fct,L,402,138.578949,-7.923445,-13.861916,-42.386126,1087.335821,52.793147,
sub-C003,fct,L,404,139.266861,-4.730868,-16.313598,-19.843746,1116.849010,56.163528,
sub-C004,fct,L,423,145.818130,-10.585801,-8.856131,-34.654801,1111.219858,63.466238,
sub-C005,fct,L,391,134.786972,-7.771274,-10.598108,-18.100915,1158.826087,55.465170,
sub-C006,fct,L,310,106.864349,-7.768300,-4.628209,-16.282756,1107.974194,49.888607,
sub-C007,fct,L,368,126.856949,-0.415721,-8.813192,-49.086961,1070.320652,49.161807,
sub-C008,fct,L,415,143.060333,-9.605866,-12.980411,-15.334900,1149.903614,58.486634,
sub-C009,fct,L,475,163.743759,-10.653103,-5.409157,-19.352051,1121.814737,52.745382,
sub-C010,fct,L,343,118.238945,-8.478464,-14.064422,-46.084486,1111.096210,47.589123,
sub-C011,fct,L,386,133.061905,-8.330511,-16.479883,-27.459917,1180.541451,53.650331,
sub-C012,fct,L,367,126.513596,-7.028210,-15.723064,-28.207577,1147.648501,51.137436,
sub-C013,fct,L,397,136.855316,-9.090869,-9.223671,-19.984457,1111.964736,54.774596,
sub-C015,fct,L,364,125.479424,-8.094475,-23.888800,-10.648037,1130.997253,53.149226,
sub-C016,fct,L,416,143.405060,-10.524134,-6.191582,-14.597717,1156.076923,58.085055,
sub-C018,fct,L,371,127.892487,-5.658283,-18.472692,-11.721018,1122.574124,46.042422,
sub-C019,fct,L,372,128.237213,-10.207026,-16.081648,-21.723504,1140.252688,52.691858,
sub-C020,fct,L,383,132.027740,-5.754706,-11.697518,-18.130095,1071.989556,57.744562,
sub-C021,fct,L,364,125.479424,-8.531332,-12.859264,-7.307215,1132.392857,57.967950,
sub-C022,fct,L,360,124.099190,-8.536563,-11.852072,-44.692955,1097.355556,52.794775,
sub-C023,fct,L,420,144.783951,-7.170002,-11.507982,-26.159686,1141.983333,64.019256,
sub-C024,fct,L,399,137.543243,-6.422918,-12.872623,-16.001798,1142.408521,48.611484,
sub-C025,fct,L,400,137.887985,-5.674010,-22.538598,-24.983530,1105.147500,60.708315,
sub-C026,fct,L,380,130.995010,-9.435881,-13.666334,-15.029665,1145.865789,57.197804,
sub-C027,fct,L,339,116.861336,-8.977705,-15.910575,-18.495761,1125.365782,48.330367,
sub-C028,fct,L,373,128.580551,-9.203531,-14.386105,-37.736546,1165.731903,55.515744,
sub-C029,fct,L,433,149.265381,-7.814060,-10.203164,-44.647612,1068.369515,53.131277,
sub-C030,fct,L,396,136.510590,-4.996378,-6.716457,-21.025658,1151.530303,56.457055,
sub-C031,fct,L,490,168.914627,-10.582005,-16.596629,-37.431765,1060.359184,55.557461,
sub-C032,fct,L,410,141.336731,-6.663886,-18.016940,-31.689165,1098.000000,58.072293,
sub-C033,fct,L,406,139.956299,-9.191781,-15.652454,-11.719127,1134.967980,56.220918,
sub-C034,fct,L,431,148.574295,-9.198685,-20.934976,-13.469258,1105.443155,50.818792,
