subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fct,R,456,157.194016,10.798905,-0.208979,-23.376814,1089.497807,54.375334,
sub-C002,fct,R,397,136.855316,11.166946,-13.611860,-43.352060,1104.052897,55.658770,
sub-C003,fct,R,389,134.096069,14.794769,-14.631546,-18.639713,1149.562982,53.607674,
sub-C004,fct,R,393,135.476425,11.590535,-8.253182,-34.482240,1119.531807,52.807744,
sub-C005,fct,R,384,132.373901,13.873802,-11.935309,-18.794766,1174.348958,54.094281,
sub-C006,fct,R,310,106.864349,10.664401,-5.434095,-17.498376,1118.003226,51.586450,
sub-C007,fct,R,402,138.577423,19.135712,-9.074083,-50.382865,1096.370647,57.617142,
sub-C008,fct,R,405,139.613098,12.543058,-12.292560,-15.223380,1155.049383,53.862748,
sub-C009,fct,R,464,159.951797,10.591588,-5.530413,-19.192777,1145.887931,56.410026,
sub-C010,fct,R,317,109.276230,12.126422,-13.782800,-46.656604,1137.829653,49.256587,
sub-C011,fct,R,380,130.993576,11.514660,-15.862800,-28.915890,1190.892105,54.844192,
sub-C012,fct,R,352,121.342743,11.971162,-15.075192,-28.540469,1161.730114,53.319052,
sub-C013,fct,R,403,138.923645,9.873379,-8.330244,-19.945376,1130.893300,62.169292,
sub-C015,fct,R,361,124.445267,12.097986,-22.591630,-9.763848,1149.180055,55.179085,
sub-C016,fct,R,403,138.923645,8.893720,-4.419674,-15.239342,1155.347395,57.405197,
sub-C018,fct,R,340,117.206055,14.120476,-18.753093,-12.754362,1126.029412,49.616634,
sub-C019,fct,R,388,133.752792,10.034094,-16.933909,-23.682033,1142.291237,58.719895,
sub-C020,fct,R,385,132.717194,12.763205,-8.945878,-19.539738,1105.787013,60.584104,
sub-C021,fct,R,373,128.581955,10.620608,-13.155582,-6.345185,1133.187668,51.885908,
sub-C022,fct,R,356,122.720306,11.319100,-10.366626,-43.472200,1115.016854,48.181871,
sub-C023,fct,R,411,141.681442,12.491379,-11.947621,-27.120190,1153.197080,66.394810,
sub-C024,fct,R,397,136.853836,14.649760,-11.819577,-15.902420,1177.098237,55.991007,
sub-C025,fct,R,417,143.748230,14.241746,-23.383401,-26.109126,1121.179856,58.456129,
sub-C026,fct,R,372,128.237213,12.338144,-14.732846,-15.287114,1162.362903,59.194640,
sub-C027,fct,R,334,115.137718,9.705245,-15.337747,-19.083890,1136.799401,44.811301,
sub-C028,fct,R,402,138.577423,13.398347,-12.739257,-38.246770,1174.092040,53.983964,
sub-C029,fct,R,450,155.125687,10.449557,-11.408028,-45.184183,1066.935556,48.254225,
sub-C030,fct,R,383,132.029175,15.035542,-6.604467,-23.367287,1165.112272,64.013786,
sub-C031,fct,R,500,172.361862,11.842170,-16.162659,-38.036591,1083.270000,63.295258,
sub-C032,fct,R,418,144.094513,13.926403,-18.008357,-32.470996,1121.858852,56.091837,
sub-C033,fct,R,407,140.301010,10.710526,-15.596451,-12.576306,1141.427518,52.134763,
sub-C034,fct,R,418,144.092941,12.413604,-17.393858,-13.590135,1125.638756,46.293104,
