subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fl,L,169,58.258308,-6.211495,8.074753,-21.925753,1138.881657,89.812093,
sub-C002,fl,L,150,51.708557,-3.626531,-5.795860,-39.347146,1162.140000,106.060894,
sub-C003,fl,L,159,54.810471,-0.723986,-6.687985,-18.717024,1174.081761,108.969858,
sub-C004,fl,L,168,57.913582,-6.538050,0.068959,-33.040659,1193.166667,121.051662,
sub-C005,fl,L,166,57.224136,-2.771007,-2.561828,-17.413605,1239.114458,123.318529,
sub-C006,fl,L,124,42.745739,-4.036824,4.004502,-15.972626,1154.508065,97.355396,
sub-C007,fl,L,138,47.571354,4.001741,-0.596183,-46.700742,1116.492754,87.582391,
sub-C008,fl,L,150,51.708557,-5.222713,-4.712054,-12.520499,1189.346667,120.241423,
sub-C009,fl,L,179,61.705544,-6.294683,3.560853,-19.104627,1156.709497,78.739825,
sub-C010,fl,L,122,42.055836,-4.307506,-6.449618,-43.405406,1162.221311,126.197046,
sub-C011,fl,L,157,54.121037,-4.376467,-7.538542,-26.223828,1210.063694,91.496580,
sub-C012,fl,L,131,45.158806,-3.177246,-7.222169,-28.351805,1179.503817,114.870789,
sub-C013,fl,L,169,58.258308,-5.880132,-0.357382,-17.131125,1177.343195,91.314934,
sub-C015,fl,L,124,42.745739,-3.889919,-15.735228,-9.165796,1245.548387,143.511783,
sub-C016,fl,L,158,54.466343,-6.858780,3.123618,-13.720332,1253.126582,117.911374,
sub-C018,fl,L,128,44.124638,-0.712673,-10.444012,-11.600079,1193.632812,111.630427,
sub-C019,fl,L,149,51.363831,-6.049205,-7.773642,-20.837119,1202.536913,118.187067,
sub-C020,fl,L,146,50.329113,-2.636479,-2.006712,-17.224947,1138.993151,89.238734,
sub-C021,fl,L,141,48.606045,-4.014363,-3.883278,-6.470850,1166.588652,78.804375,
sub-C022,fl,L,138,47.571354,-4.908752,-3.924536,-40.271224,1182.188406,103.059798,
sub-C023,fl,L,175,60.326653,-3.284977,-2.583003,-25.042226,1197.691429,96.810317,
sub-C024,fl,L,141,48.605515,-1.736824,-4.552457,-15.123604,1181.617021,87.718271,
sub-C025,fl,L,134,46.192471,-1.262175,-14.469758,-23.399162,1137.470149,90.768456,
sub-C026,fl,L,172,59.292480,-5.439985,-5.381165,-11.840419,1193.116279,101.148830,
sub-C027,fl,L,120,41.366844,-5.402209,-7.777780,-16.629746,1179.591667,112.268922,
sub-C028,fl,L,151,52.052715,-5.780949,-5.101935,-36.441771,1207.397351,95.258111,
sub-C029,fl,L,167,57.568859,-3.288091,-1.006786,-42.072138,1084.670659,61.594422,
sub-C030,fl,L,146,50.329659,-0.391211,2.278904,-20.821429,1196.541096,106.318722,
sub-C031,fl,L,174,59.981926,-5.503992,-8.819452,-33.192744,1155.488506,134.353289,
sub-C032,fl,L,159,54.811069,-2.239393,-8.917945,-30.310985,1174.779874,103.757607,
sub-C033,fl,L,154,53.086876,-5.135842,-6.930807,-9.581966,1193.636364,85.968745,
sub-C034,fl,L,147,50.673836,-5.244465,-12.190853,-10.953445,1185.979592,104.579161,
