subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fl,R,167,57.568859,7.353732,8.429994,-22.096623,1148.766467,107.167358,
sub-C002,fl,R,162,55.845242,7.893989,-5.587240,-39.547622,1169.913580,111.241073,
sub-C003,fl,R,152,52.397434,11.271166,-5.361713,-17.845812,1191.921053,119.951785,
sub-C004,fl,R,164,56.534687,8.271498,0.672704,-32.354798,1167.396341,91.904032,
sub-C005,fl,R,156,53.776897,11.266874,-3.157897,-17.491488,1247.583333,124.458930,
sub-C006,fl,R,122,42.056293,7.045440,3.598980,-16.284723,1177.926230,97.634854,
sub-C007,fl,R,153,52.742153,16.170131,-0.619315,-47.385845,1143.607843,96.704871,
sub-C008,fl,R,158,54.466343,8.328076,-4.163264,-11.760887,1174.613924,91.402778,
sub-C009,fl,R,180,62.050266,6.972316,3.662065,-18.569164,1173.305556,71.449564,
sub-C010,fl,R,127,43.779434,8.345615,-6.170302,-43.514877,1172.133858,108.137579,
sub-C011,fl,R,150,51.707993,8.289762,-7.107983,-26.841282,1206.160000,95.191723,
sub-C012,fl,R,141,48.606045,8.615506,-6.594005,-28.290220,1183.843972,95.033624,
sub-C013,fl,R,164,56.534687,6.461730,0.422585,-16.918771,1186.768293,113.561453,
sub-C015,fl,R,116,39.987949,8.653711,-14.666008,-8.136387,1232.870690,115.456111,
sub-C016,fl,R,152,52.398003,5.134395,4.543023,-13.938491,1234.078947,104.499408,
sub-C018,fl,R,128,44.124638,11.504594,-10.312433,-11.978369,1176.617188,104.301510,
sub-C019,fl,R,151,52.053284,6.709801,-8.167297,-22.015277,1198.370861,94.666898,
sub-C020,fl,R,156,53.776314,9.142008,-0.009411,-18.208870,1126.698718,88.467484,
sub-C021,fl,R,135,46.537701,7.966582,-3.692273,-5.934110,1181.051852,80.318240,
sub-C022,fl,R,139,47.916073,7.845045,-2.458871,-38.863289,1138.251799,82.282396,
sub-C023,fl,R,176,60.671371,9.268742,-2.695078,-25.515728,1207.306818,104.344414,
sub-C024,fl,R,156,53.776314,11.395088,-3.337212,-14.986067,1179.557692,95.984625,
sub-C025,fl,R,149,51.363274,11.135512,-14.708585,-23.998848,1161.973154,86.850520,
sub-C026,fl,R,154,53.087452,9.269624,-6.216393,-11.886040,1212.636364,95.181067,
sub-C027,fl,R,117,40.332672,5.925600,-7.599342,-16.496443,1153.786325,84.244188,
sub-C028,fl,R,162,55.844631,10.155556,-4.189414,-36.201829,1212.506173,108.825591,
sub-C029,fl,R,157,54.121624,7.718152,-1.535531,-41.957851,1087.942675,57.672955,
sub-C030,fl,R,154,53.087452,12.424191,2.562802,-22.079555,1238.428571,111.770181,
sub-C031,fl,R,162,55.845242,7.893989,-8.168186,-33.346897,1139.956790,96.217297,
sub-C032,fl,R,172,59.292480,10.773812,-8.768012,-30.597764,1189.151163,106.870804,
sub-C033,fl,R,164,56.534069,7.653016,-6.770261,-9.662766,1187.085366,82.243496,
sub-C034,fl,R,150,51.707993,7.893097,-9.770612,-10.652884,1203.506667,100.074586,
