subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ft,L,259,89.283440,-7.318123,5.123508,-19.666531,1102.223938,61.692002,
sub-C002,ft,L,237,81.699524,-4.656867,-9.573608,-38.107321,1105.801688,55.794101,
sub-C003,ft,L,264,91.006065,-1.874989,-10.460065,-16.751490,1122.287879,59.758708,
sub-C004,ft,L,268,92.385948,-7.614363,-3.406770,-31.210711,1158.940299,79.436146,
sub-C005,ft,L,273,94.109573,-4.340279,-5.652595,-15.244203,1166.230769,67.674297,
sub-C006,ft,L,206,71.013084,-4.917530,0.589411,-13.855165,1105.864078,65.462639,
sub-C007,ft,L,239,82.388069,2.837436,-4.218956,-45.063379,1078.112971,57.397770,
sub-C008,ft,L,254,87.559822,-6.541073,-8.123354,-11.113269,1118.500000,67.623098,
sub-C009,ft,L,289,99.625160,-7.445020,0.228609,-16.460056,1118.456747,46.962445,
sub-C010,ft,L,212,73.080635,-5.635995,-9.958769,-42.195894,1128.122642,78.139103,
sub-C011,ft,L,260,89.627190,-5.457999,-11.297277,-24.228057,1154.969231,63.400052,
sub-C012,ft,L,225,77.562843,-4.606537,-10.017306,-25.810157,1126.777778,55.739785,
sub-C013,ft,L,267,92.041229,-6.891751,-4.288391,-15.690540,1110.329588,61.839502,
sub-C015,ft,L,189,65.152786,-4.926933,-18.953099,-7.512349,1177.169312,111.978165,
sub-C016,ft,L,254,87.559822,-7.885205,-0.708647,-11.523756,1180.814961,83.170055,
sub-C018,ft,L,219,75.494484,-1.990920,-13.187142,-9.316774,1125.657534,70.440140,
sub-C019,ft,L,242,83.423134,-7.159645,-11.065707,-18.965923,1112.404959,48.897993,
sub-C020,ft,L,266,91.695503,-3.214955,-5.768748,-15.253472,1087.665414,61.045397,
sub-C021,ft,L,206,71.013084,-5.376271,-6.969297,-4.401126,1138.611650,72.663908,
sub-C022,ft,L,214,73.770073,-6.067165,-7.742600,-39.705106,1160.070093,96.149384,
sub-C023,ft,L,280,96.522636,-4.477485,-5.969970,-23.052752,1177.835714,82.568760,
sub-C024,ft,L,215,74.114792,-3.105576,-7.625592,-12.909866,1158.023256,78.698136,
sub-C025,ft,L,226,77.906708,-2.365611,-17.720853,-21.672352,1100.548673,63.023663,
sub-C026,ft,L,248,85.491478,-6.729454,-9.121640,-10.670061,1205.528226,90.032288,
sub-C027,ft,L,195,67.221115,-6.169522,-11.379219,-15.095333,1123.302564,72.451589,
sub-C028,ft,L,257,88.593025,-6.953648,-8.645337,-34.514139,1204.385214,102.007561,
sub-C029,ft,L,251,86.525650,-4.550961,-4.997379,-40.374447,1052.553785,48.063126,
sub-C030,ft,L,240,82.733688,-1.820107,-1.238519,-18.745045,1158.991667,65.369436,
sub-C031,ft,L,280,96.522636,-6.803052,-12.870528,-32.567819,1111.650000,81.764758,
sub-C032,ft,L,280,96.522636,-3.515816,-12.488301,-28.136319,1140.882143,83.517970,
sub-C033,ft,L,245,84.456390,-6.103371,-10.577846,-7.783573,1163.208163,60.174146,
sub-C034,ft,L,242,83.422234,-6.134032,-15.479220,-9.531314,1151.855372,85.712681,
