subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ft,R,273,94.109573,8.493138,5.565917,-19.973535,1097.586081,58.856075,
sub-C002,ft,R,249,85.836212,8.684891,-9.413644,-38.384869,1114.686747,60.546422,
sub-C003,ft,R,259,89.282471,11.973528,-8.920610,-15.818055,1155.474903,71.141103,
sub-C004,ft,R,251,86.525650,9.427244,-2.700947,-30.926109,1148.749004,87.359148,
sub-C005,ft,R,256,88.249275,12.017149,-6.282897,-15.618596,1216.417969,84.022086,
sub-C006,ft,R,201,69.289474,8.053028,0.002581,-14.412234,1111.407960,63.443067,
sub-C007,ft,R,243,83.766953,16.851488,-4.270442,-45.971804,1104.102881,58.830560,
sub-C008,ft,R,261,89.972885,9.394617,-7.387270,-10.588335,1158.965517,73.793284,
sub-C009,ft,R,295,101.693489,7.959375,0.193535,-16.042650,1145.094915,53.774831,
sub-C010,ft,R,209,72.046471,9.459549,-9.682537,-42.590564,1138.301435,67.780755,
sub-C011,ft,R,226,77.906708,9.143799,-10.810969,-25.197065,1175.349558,69.505088,
sub-C012,ft,R,245,84.457314,9.558127,-9.263739,-25.857959,1155.600000,69.878900,
sub-C013,ft,R,252,86.870377,7.393985,-3.353251,-15.552211,1146.424603,65.210464,
sub-C015,ft,R,194,66.876396,9.507067,-17.841366,-6.686726,1181.881443,93.549584,
sub-C016,ft,R,253,87.215103,6.148742,1.021550,-11.836020,1180.996047,77.049742,
sub-C018,ft,R,212,73.081421,12.335231,-13.180688,-9.892863,1141.561321,70.224832,
sub-C019,ft,R,245,84.457314,7.698114,-11.619902,-20.105241,1143.146939,64.973598,
sub-C020,ft,R,268,92.384941,10.342625,-3.302862,-16.134760,1107.667910,61.599572,
sub-C021,ft,R,231,79.631172,8.616216,-6.633093,-3.705846,1162.012987,84.887674,
sub-C022,ft,R,229,78.940872,8.752241,-6.249350,-38.329020,1132.860262,79.588292,
sub-C023,ft,R,273,94.109573,10.342292,-6.224517,-23.677070,1203.388278,70.286045,
sub-C024,ft,R,235,81.009193,12.286944,-6.293405,-12.719722,1167.953191,62.314151,
sub-C025,ft,R,239,82.388069,11.714522,-18.107614,-22.410536,1145.460251,63.971152,
sub-C026,ft,R,251,86.525650,10.145056,-10.024120,-10.629059,1192.768924,79.192540,
sub-C027,ft,R,189,65.152786,7.005094,-10.960737,-15.197183,1135.899471,66.753400,
sub-C028,ft,R,257,88.593025,11.570396,-7.364703,-34.680704,1185.540856,67.753858,
sub-C029,ft,R,247,85.146751,8.500849,-5.622605,-40.411653,1066.753036,61.144369,
sub-C030,ft,R,259,89.283440,13.104416,-0.948064,-20.074912,1204.934363,71.155030,
sub-C031,ft,R,272,93.764854,8.744403,-11.976013,-32.891865,1131.363971,75.355467,
sub-C032,ft,R,286,98.590981,11.633933,-12.221919,-28.574670,1143.856643,68.800630,
sub-C033,ft,R,248,85.490547,8.379861,-10.578563,-8.239864,1171.818548,70.211792,
sub-C034,ft,R,234,80.664467,9.024460,-12.882203,-9.354698,1159.418803,71.305814,
