subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hf,L,167,57.568859,-5.145751,4.555637,-22.226889,1120.694611,83.587463,
sub-C002,hf,L,155,53.432175,-2.698912,-8.883278,-40.973405,1104.329032,79.754095,
sub-C003,hf,L,157,54.121037,0.481961,-10.298578,-19.055827,1129.363057,73.317727,
sub-C004,hf,L,168,57.913582,-5.267208,-3.469053,-33.679757,1153.511905,88.065435,
sub-C005,hf,L,161,55.500515,-2.037477,-6.206823,-17.911182,1177.751553,81.199525,
sub-C006,hf,L,127,43.779911,-2.946590,0.463957,-16.274397,1127.740157,77.139557,
sub-C007,hf,L,153,52.742153,4.837501,-3.921689,-47.771122,1067.503268,68.498379,
sub-C008,hf,L,154,53.087452,-3.921371,-8.005378,-13.614081,1135.266234,78.903353,
sub-C009,hf,L,175,60.326653,-5.222542,-0.083632,-19.306674,1124.051429,53.738112,
sub-C010,hf,L,141,48.605515,-3.305365,-9.324885,-44.637127,1142.900709,110.407965,
sub-C011,hf,L,164,56.534069,-3.229172,-11.064566,-26.964175,1155.451220,70.957544,
sub-C012,hf,L,144,49.640213,-2.047049,-10.643817,-28.391833,1137.895833,78.467731,
sub-C013,hf,L,175,60.326653,-4.666538,-3.921226,-18.305873,1131.400000,84.055400,
sub-C015,hf,L,130,44.814083,-2.565208,-18.722037,-9.880349,1189.446154,117.512200,
sub-C016,hf,L,153,52.742729,-5.538779,-0.306252,-14.172318,1201.581699,93.179553,
sub-C018,hf,L,142,48.950768,0.056038,-13.624763,-11.804552,1141.387324,98.251512,
sub-C019,hf,L,149,51.363831,-4.893492,-11.296543,-21.505905,1127.657718,67.574461,
sub-C020,hf,L,165,56.878792,-1.315522,-5.685606,-17.930867,1112.496970,77.745412,
sub-C021,hf,L,130,44.814083,-3.188221,-7.617699,-6.534900,1150.023077,74.063504,
sub-C022,hf,L,150,51.707993,-3.823250,-6.924586,-41.981064,1106.860000,60.259064,
sub-C023,hf,L,189,65.152786,-2.193118,-6.249651,-25.664374,1211.873016,99.206987,
sub-C024,hf,L,137,47.226631,-0.774614,-7.872249,-15.469631,1151.642336,80.021297,
sub-C025,hf,L,151,52.052715,-0.288635,-17.980715,-24.255390,1092.841060,81.108823,
sub-C026,hf,L,165,56.879414,-4.255009,-9.103307,-12.951431,1220.654545,118.928173,
sub-C027,hf,L,127,43.779911,-4.285968,-10.846804,-17.428337,1121.984252,87.405458,
sub-C028,hf,L,152,52.397434,-4.354087,-8.799721,-37.072011,1237.164474,116.084489,
sub-C029,hf,L,160,55.155796,-2.463096,-4.845845,-43.252409,1036.193750,50.024459,
sub-C030,hf,L,141,48.606045,0.274756,-1.433617,-21.211201,1161.226950,72.770222,
sub-C031,hf,L,184,63.429165,-4.436406,-12.101759,-35.032350,1123.815217,108.995807,
sub-C032,hf,L,179,61.705544,-1.198203,-12.456280,-30.873651,1142.357542,103.460711,
sub-C033,hf,L,161,55.499912,-3.948100,-10.363895,-10.446380,1167.701863,80.525372,
sub-C034,hf,L,151,52.052715,-3.847845,-15.217372,-11.982097,1165.172185,86.786540,
