subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hf,R,181,62.394993,5.810304,4.937287,-22.309678,1108.082873,72.668645,
sub-C002,hf,R,170,58.603027,6.414829,-8.713232,-41.075938,1095.576471,71.192609,
sub-C003,hf,R,172,59.291832,9.905765,-9.127523,-18.404124,1137.563953,72.619665,
sub-C004,hf,R,175,60.326653,6.709537,-2.894115,-33.153942,1131.857143,90.916010,
sub-C005,hf,R,160,55.155796,9.427679,-6.469300,-18.097763,1211.368750,100.364281,
sub-C006,hf,R,127,43.779911,5.811735,0.055061,-16.429114,1120.645669,69.319885,
sub-C007,hf,R,157,54.121037,14.563760,-3.812282,-48.348307,1096.643312,65.952684,
sub-C008,hf,R,181,62.394993,6.922070,-7.505811,-13.085185,1164.403315,81.009792,
sub-C009,hf,R,192,66.186951,5.351611,0.057533,-19.029690,1142.020833,61.996956,
sub-C010,hf,R,144,49.639675,7.033656,-9.163963,-44.734697,1157.520833,79.959428,
sub-C011,hf,R,154,53.086876,6.689466,-10.553810,-27.665707,1141.012987,68.161572,
sub-C012,hf,R,153,52.742729,7.198559,-10.126101,-28.365460,1137.098039,64.327162,
sub-C013,hf,R,173,59.637199,5.083630,-3.171792,-18.130220,1153.549133,76.810505,
sub-C015,hf,R,133,45.848255,7.128701,-17.916785,-9.005165,1172.466165,81.204806,
sub-C016,hf,R,156,53.776897,3.741825,0.935049,-14.378981,1186.942308,78.866015,
sub-C018,hf,R,142,48.950768,9.678636,-13.496273,-12.150487,1140.253521,86.159874,
sub-C019,hf,R,161,55.500515,5.145178,-11.540573,-22.358577,1133.645963,73.215812,
sub-C020,hf,R,167,57.568230,8.070356,-3.813624,-18.544097,1120.185629,79.077484,
sub-C021,hf,R,148,51.019112,6.308993,-7.235746,-6.075550,1184.290541,95.183407,
sub-C022,hf,R,156,53.776314,6.604910,-5.707672,-40.892985,1103.589744,70.731740,
sub-C023,hf,R,185,63.773891,7.784285,-6.319696,-26.186059,1213.621622,88.032711,
sub-C024,hf,R,157,54.121037,9.907752,-6.874837,-15.422128,1171.484076,75.885508,
sub-C025,hf,R,154,53.086876,9.563219,-18.181820,-24.634544,1141.961039,67.452223,
sub-C026,hf,R,162,55.845242,7.502161,-9.480727,-12.966238,1204.320988,117.144422,
sub-C027,hf,R,132,45.503529,4.713917,-10.489103,-17.357550,1137.969697,75.289461,
sub-C028,hf,R,175,60.325993,8.471094,-7.762866,-37.064281,1198.102857,86.250109,
sub-C029,hf,R,164,56.534687,6.076426,-5.135960,-43.164690,1030.768293,52.907675,
sub-C030,hf,R,153,52.742729,10.539835,-1.057806,-22.316482,1215.320261,107.865636,
sub-C031,hf,R,183,63.084435,6.251719,-11.282337,-35.153478,1106.114754,70.612104,
sub-C032,hf,R,187,64.463333,9.147636,-12.149607,-31.098792,1131.283422,85.537893,
sub-C033,hf,R,166,57.223511,5.841930,-10.204434,-10.754063,1168.548193,88.001140,
sub-C034,hf,R,155,53.431595,6.617296,-13.152766,-11.748828,1182.890323,74.725782,
