subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hfields,L,481,165.812119,-6.567598,6.121220,-20.879126,1120.765073,78.741857,
sub-C002,hfields,L,439,151.333710,-3.950989,-8.099575,-38.994127,1128.492027,85.895840,
sub-C003,hfields,L,467,160.984207,-1.138603,-9.089126,-17.749285,1144.059957,85.425950,
sub-C004,hfields,L,486,167.535706,-6.866602,-2.160586,-32.207815,1170.790123,98.111535,
sub-C005,hfields,L,490,168.914627,-3.446244,-4.618691,-16.377659,1195.053061,97.366075,
sub-C006,hfields,L,368,126.858330,-4.297546,1.779101,-14.938141,1128.192935,80.848553,
sub-C007,hfields,L,427,147.195419,3.565761,-2.935316,-46.051995,1091.379391,73.331784,
sub-C008,hfields,L,457,157.538742,-5.664599,-6.931348,-11.974953,1148.275711,95.830068,
sub-C009,hfields,L,522,179.945770,-6.708214,1.387817,-17.803552,1132.729885,63.424822,
sub-C010,hfields,L,382,131.683014,-4.758890,-8.669591,-43.005289,1145.541885,103.111499,
sub-C011,hfields,L,468,161.328934,-4.737660,-9.923758,-25.330771,1177.470085,80.298541,
sub-C012,hfields,L,410,141.336731,-3.676385,-9.175505,-27.101765,1146.704878,87.448836,
sub-C013,hfields,L,497,171.327682,-6.153364,-2.813443,-16.616805,1141.513078,83.696193,
sub-C015,hfields,L,361,124.445267,-4.104890,-17.741555,-8.521685,1206.080332,127.860761,
sub-C016,hfields,L,463,159.607071,-7.167617,0.743482,-12.686340,1213.980562,104.186052,
sub-C018,hfields,L,399,137.544754,-1.195626,-12.322062,-10.510843,1153.235589,98.454845,
sub-C019,hfields,L,441,152.023163,-6.402930,-9.929645,-20.018357,1147.902494,93.269390,
sub-C020,hfields,L,464,159.950058,-2.713687,-4.482513,-16.330041,1109.112069,79.095674,
sub-C021,hfields,L,393,135.476425,-4.479290,-5.890825,-5.497185,1152.740458,76.873464,
sub-C022,hfields,L,404,139.266861,-5.235372,-6.212387,-40.307299,1161.799505,97.085835,
sub-C023,hfields,L,516,177.877441,-3.651375,-4.799816,-24.172121,1193.821705,91.384726,
sub-C024,hfields,L,398,137.198547,-2.250839,-6.512987,-14.095582,1169.613065,83.218755,
sub-C025,hfields,L,410,141.335190,-1.615180,-16.628158,-22.689948,1114.921951,79.446273,
sub-C026,hfields,L,475,163.743759,-5.813910,-7.706962,-11.446655,1207.151579,102.843426,
sub-C027,hfields,L,354,122.032196,-5.555063,-9.993064,-16.006394,1149.658192,96.427895,
sub-C028,hfields,L,460,158.571182,-6.129668,-7.427767,-35.560871,1211.508696,102.236376,
sub-C029,hfields,L,470,162.020142,-3.774767,-3.484143,-41.425235,1061.229787,57.833877,
sub-C030,hfields,L,423,145.818130,-1.032581,0.009708,-19.797739,1175.593381,84.269513,
sub-C031,hfields,L,518,178.566879,-5.949195,-11.291242,-33.176300,1131.787645,110.824051,
sub-C032,hfields,L,504,173.740753,-2.668589,-11.266636,-29.320669,1155.446429,94.496979,
sub-C033,hfields,L,453,156.158142,-5.389624,-9.231984,-8.826465,1176.602649,74.636234,
sub-C034,hfields,L,437,150.642624,-5.459545,-14.260416,-10.389247,1166.560641,94.414293,
