subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hfields,R,494,170.293503,7.593267,6.402759,-21.115053,1118.548583,82.575902,
sub-C002,hfields,R,463,159.607071,7.972439,-7.947846,-39.272454,1130.628510,86.821683,
sub-C003,hfields,R,463,159.605331,11.357910,-7.766321,-16.935494,1166.187905,91.522720,
sub-C004,hfields,R,471,162.364868,8.507298,-1.586294,-31.834405,1155.709130,91.349541,
sub-C005,hfields,R,467,160.985962,11.314235,-5.238365,-16.672437,1229.286938,102.312044,
sub-C006,hfields,R,364,125.479424,7.338002,1.257249,-15.388536,1136.755495,80.757966,
sub-C007,hfields,R,447,154.089813,16.209066,-2.914477,-46.881931,1118.143177,76.708856,
sub-C008,hfields,R,485,167.191010,8.522731,-6.322905,-11.485423,1168.111340,84.142515,
sub-C009,hfields,R,530,182.703583,7.176521,1.348703,-17.398470,1154.100000,62.368951,
sub-C010,hfields,R,378,130.304138,8.649390,-8.421365,-43.257160,1152.894180,85.020044,
sub-C011,hfields,R,428,147.540146,8.340245,-9.493576,-26.235347,1183.894860,82.686766,
sub-C012,hfields,R,423,145.818130,8.868700,-8.540005,-27.029384,1163.508274,78.016642,
sub-C013,hfields,R,474,163.399048,6.642152,-2.025846,-16.509703,1162.696203,87.354037,
sub-C015,hfields,R,350,120.653305,8.818712,-16.792290,-7.590470,1198.614286,101.755803,
sub-C016,hfields,R,457,157.538742,5.387383,2.197807,-12.963375,1202.343545,90.038723,
sub-C018,hfields,R,389,134.097534,11.575928,-12.291191,-10.998559,1154.493573,84.625756,
sub-C019,hfields,R,448,154.436218,6.929225,-10.426919,-21.139837,1161.511161,81.610796,
sub-C020,hfields,R,471,162.363083,9.599756,-2.283837,-17.179648,1115.957537,76.252062,
sub-C021,hfields,R,406,139.957825,8.030580,-5.739741,-4.816040,1173.992611,83.749907,
sub-C022,hfields,R,420,144.782379,8.056698,-4.908880,-38.997605,1133.423810,79.280454,
sub-C023,hfields,R,504,173.740753,9.535663,-5.033184,-24.740305,1205.375000,85.413183,
sub-C024,hfields,R,429,147.884872,11.582733,-5.346372,-13.970649,1174.993007,77.884875,
sub-C025,hfields,R,425,146.505981,11.160196,-16.962644,-23.303344,1151.108235,72.186652,
sub-C026,hfields,R,460,158.572906,9.381107,-8.678418,-11.446542,1201.200000,89.687519,
sub-C027,hfields,R,348,119.963852,6.170797,-9.745918,-16.057251,1146.870690,75.874976,
sub-C028,hfields,R,472,162.707825,10.536772,-6.334269,-35.622100,1198.125000,81.650745,
sub-C029,hfields,R,457,157.538742,7.795139,-4.149311,-41.424892,1066.772429,61.560453,
sub-C030,hfields,R,460,158.572906,12.485476,0.219909,-21.071640,1220.250000,90.290650,
sub-C031,hfields,R,496,170.982956,7.973335,-10.570423,-33.454633,1130.385081,83.580354,
sub-C032,hfields,R,523,180.290512,10.868312,-11.046077,-29.693899,1158.367113,87.911523,
sub-C033,hfields,R,466,160.639496,7.668550,-9.187854,-9.205116,1175.899142,74.819212,
sub-C034,hfields,R,430,148.229584,8.199142,-11.893609,-10.241188,1179.916279,85.308695,
