subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ml,L,133,45.848255,-9.782150,-6.389343,-23.281400,1164.428571,48.687670,
sub-C002,ml,L,111,38.264332,-6.745146,-18.708900,-44.909593,1129.648649,40.935570,
sub-C003,ml,L,117,40.332233,-3.326313,-21.828950,-20.850919,1185.965812,48.914586,
sub-C004,ml,L,122,42.056293,-8.922697,-14.641451,-35.986959,1195.418033,53.618925,
sub-C005,ml,L,112,38.609055,-6.775552,-16.240603,-18.810169,1257.258929,49.406340,
sub-C006,ml,L,86,29.646240,-6.658690,-10.018346,-16.844950,1186.011628,41.004015,
sub-C007,ml,L,110,37.919193,0.382600,-14.029370,-50.875394,1134.836364,55.041357,
sub-C008,ml,L,123,42.401016,-8.107984,-17.806562,-16.818545,1174.983740,43.352536,
sub-C009,ml,L,146,50.329659,-9.388240,-11.035203,-19.669060,1152.568493,50.562615,
sub-C010,ml,L,107,36.885036,-7.179080,-18.790313,-48.065616,1166.700935,58.413493,
sub-C011,ml,L,109,37.574474,-7.290415,-21.813193,-28.739367,1211.908257,55.158784,
sub-C012,ml,L,112,38.609055,-5.638044,-21.183360,-28.261647,1207.848214,47.296308,
sub-C013,ml,L,116,39.987949,-7.652282,-14.615410,-22.054002,1191.275862,50.677083,
sub-C015,ml,L,101,34.817097,-6.855549,-28.926070,-11.569209,1225.663366,55.872583,
sub-C016,ml,L,111,38.264332,-9.103720,-11.472217,-15.340793,1246.720721,54.457518,
sub-C018,ml,L,103,35.506542,-4.936699,-23.820353,-12.269045,1199.077670,49.977581,
sub-C019,ml,L,113,38.953781,-9.413401,-21.500178,-22.835683,1183.584071,46.402302,
sub-C020,ml,L,114,39.298073,-4.452669,-17.248324,-19.261739,1153.394737,52.660142,
sub-C021,ml,L,99,34.127647,-7.513183,-18.420136,-8.024724,1224.414141,57.729844,
sub-C022,ml,L,94,32.403675,-7.070044,-16.598744,-47.039270,1196.468085,41.338805,
sub-C023,ml,L,119,41.022121,-5.586168,-17.348858,-27.193251,1211.924370,60.599989,
sub-C024,ml,L,112,38.608635,-5.511409,-17.973643,-16.799736,1249.821429,47.776170,
sub-C025,ml,L,109,37.574474,-4.847227,-28.211816,-26.007367,1159.972477,52.887802,
sub-C026,ml,L,113,38.953781,-8.070513,-18.786314,-16.811588,1186.672566,48.232777,
sub-C027,ml,L,94,32.404026,-7.708005,-20.880928,-19.989582,1178.521277,38.046019,
sub-C028,ml,L,107,36.885036,-7.519266,-19.724808,-38.806506,1210.710280,42.035701,
sub-C029,ml,L,115,39.643227,-7.281525,-15.945769,-47.192150,1125.973913,42.341233,
sub-C030,ml,L,116,39.987949,-3.879991,-12.516196,-21.589066,1195.577586,52.105103,
sub-C031,ml,L,114,39.298504,-9.640921,-21.323459,-40.665388,1157.350877,64.913419,
sub-C032,ml,L,115,39.643227,-5.571047,-23.524261,-32.631361,1139.156522,42.802605,
sub-C033,ml,L,114,39.298073,-7.936069,-21.126424,-13.167484,1233.298246,52.838195,
sub-C034,ml,L,120,41.366394,-7.483503,-25.874706,-15.001422,1193.050000,49.902906,
