subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ml,R,106,36.540710,9.700499,-5.824873,-23.705798,1146.235849,47.869376,
sub-C002,ml,R,85,29.301514,9.960146,-18.690528,-45.146114,1163.588235,51.033204,
sub-C003,ml,R,83,28.611755,13.994196,-20.508617,-19.303388,1183.096386,51.841366,
sub-C004,ml,R,89,30.680410,10.464168,-13.535370,-35.032436,1189.539326,50.325318,
sub-C005,ml,R,82,28.267344,12.019083,-17.150194,-18.909808,1239.548780,49.342380,
sub-C006,ml,R,74,25.509556,10.036045,-10.869846,-17.645946,1186.878378,56.025912,
sub-C007,ml,R,88,30.335356,17.623207,-14.316452,-51.446367,1159.250000,55.151672,
sub-C008,ml,R,97,33.438198,11.477183,-17.166096,-16.404939,1179.113402,50.053695,
sub-C009,ml,R,93,32.059303,9.773212,-11.203432,-19.352035,1187.107527,41.685797,
sub-C010,ml,R,87,29.990637,11.273197,-18.450781,-48.150876,1149.551724,58.240032,
sub-C011,ml,R,88,30.335356,10.767857,-21.223666,-29.578443,1227.659091,46.565215,
sub-C012,ml,R,86,29.646240,10.930959,-20.457272,-28.157462,1213.686047,44.951284,
sub-C013,ml,R,87,29.990963,8.813918,-13.913656,-21.666827,1187.666667,47.488473,
sub-C015,ml,R,74,25.509556,11.666569,-27.798887,-10.353486,1225.432432,49.632645,
sub-C016,ml,R,85,29.301514,8.370724,-9.759296,-15.443732,1221.694118,47.034441,
sub-C018,ml,R,76,26.199001,12.618500,-23.871990,-12.724271,1203.894737,54.907092,
sub-C019,ml,R,81,27.922621,9.155725,-22.363551,-24.022371,1198.320988,53.302398,
sub-C020,ml,R,83,28.611755,12.079747,-14.646745,-20.042331,1178.686747,65.213519,
sub-C021,ml,R,69,23.785936,9.185785,-18.681792,-6.521053,1203.637681,54.980203,
sub-C022,ml,R,70,24.130396,10.546688,-15.244720,-45.540630,1192.585714,55.092937,
sub-C023,ml,R,86,29.646240,10.971395,-17.551074,-27.636013,1196.081395,56.556940,
sub-C024,ml,R,84,28.956476,13.690591,-16.839558,-16.095893,1234.809524,61.267039,
sub-C025,ml,R,78,26.888157,13.180452,-28.942872,-26.417673,1182.051282,49.670315,
sub-C026,ml,R,88,30.335686,11.056000,-19.799214,-16.718576,1199.443182,45.881120,
sub-C027,ml,R,68,23.441214,9.120141,-20.196080,-20.294349,1214.544118,44.605211,
sub-C028,ml,R,79,27.232878,12.179028,-18.002592,-39.029244,1230.797468,60.735952,
sub-C029,ml,R,85,29.301514,9.233929,-16.916020,-47.069747,1135.070588,47.371829,
sub-C030,ml,R,90,31.025133,13.339853,-12.178091,-23.163173,1214.155556,47.007031,
sub-C031,ml,R,98,33.782925,10.742420,-21.053486,-40.642649,1164.673469,54.743785,
sub-C032,ml,R,98,33.782925,12.777147,-23.519093,-32.990956,1144.734694,41.246443,
sub-C033,ml,R,88,30.335356,9.725457,-20.945389,-13.797049,1212.238636,44.405393,
sub-C034,ml,R,89,30.680077,11.972742,-22.698610,-14.864882,1183.898876,41.419979,
