subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,rZI,L,525,180.979950,-7.207888,6.269111,-22.145015,1209.038095,129.855889,
sub-C002,rZI,L,488,168.225174,-4.467340,-7.253285,-39.897505,1229.286885,131.376646,
sub-C003,rZI,L,521,179.599106,-1.604714,-8.669118,-19.036824,1254.685221,143.414343,
sub-C004,rZI,L,539,185.806076,-7.308997,-1.595700,-33.387305,1251.879406,144.896355,
sub-C005,rZI,L,523,180.290512,-3.724719,-4.085742,-17.530632,1316.586998,157.906131,
sub-C006,rZI,L,405,139.613098,-4.811526,2.305996,-16.006834,1240.264198,147.787015,
sub-C007,rZI,L,479,165.120850,3.082909,-2.113264,-47.068860,1216.906054,162.307786,
sub-C008,rZI,L,512,176.498550,-6.132518,-6.366604,-13.076000,1280.392578,134.939068,
sub-C009,rZI,L,562,193.734726,-7.193615,1.933860,-19.157497,1232.409253,137.261515,
sub-C010,rZI,L,415,143.058777,-5.287930,-7.823396,-43.778016,1231.893976,137.496731,
sub-C011,rZI,L,515,177.530762,-5.366748,-9.436763,-26.426634,1285.902913,121.793801,
sub-C012,rZI,L,442,152.367889,-4.065919,-8.854546,-28.344291,1254.278281,132.567227,
sub-C013,rZI,L,524,180.635223,-6.666581,-2.023038,-17.445217,1260.442748,142.277482,
sub-C015,rZI,L,388,133.752792,-4.711325,-17.425378,-9.508213,1290.378866,141.068251,
sub-C016,rZI,L,492,169.604065,-7.713363,1.298873,-13.820518,1346.906504,155.019857,
sub-C018,rZI,L,433,149.265381,-1.719384,-11.919134,-11.594103,1232.780600,125.648173,
sub-C019,rZI,L,489,168.569901,-6.905358,-9.374903,-21.123721,1247.361963,134.486858,
sub-C020,rZI,L,529,182.356857,-3.242689,-3.975338,-17.453126,1215.128544,132.895274,
sub-C021,rZI,L,430,148.231186,-4.946121,-5.671994,-6.662823,1237.034884,115.087668,
sub-C022,rZI,L,441,152.021500,-5.616893,-5.349665,-41.024418,1243.979592,147.958508,
sub-C023,rZI,L,553,190.632217,-4.076628,-4.223864,-25.162933,1255.815552,108.789662,
sub-C024,rZI,L,455,156.847565,-2.840747,-6.310928,-15.328076,1266.819780,114.417498,
sub-C025,rZI,L,462,159.260620,-2.229154,-16.155542,-23.826463,1207.415584,129.598062,
sub-C026,rZI,L,521,179.601059,-6.231463,-6.933252,-12.443244,1280.886756,149.575671,
sub-C027,rZI,L,411,141.681442,-6.252008,-9.529178,-17.073379,1261.885645,148.255215,
sub-C028,rZI,L,522,179.943802,-6.443967,-6.844071,-36.575112,1281.708812,141.190100,
sub-C029,rZI,L,531,183.048294,-4.103551,-2.693269,-42.579234,1142.711864,102.974744,
sub-C030,rZI,L,482,166.156830,-1.601646,0.384251,-20.866602,1245.794606,130.972253,
sub-C031,rZI,L,564,194.424179,-6.584770,-10.274233,-33.887590,1241.280142,160.948133,
sub-C032,rZI,L,523,180.290512,-3.028719,-10.619389,-30.588870,1208.267686,115.440025,
sub-C033,rZI,L,500,172.359970,-6.029057,-8.577159,-9.927447,1273.624000,126.574899,
sub-C034,rZI,L,486,167.533905,-6.045196,-13.783665,-11.456407,1270.222222,132.177715,
