subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,rZI,R,542,186.840240,7.901020,7.105085,-22.326352,1248.959410,180.771499,
sub-C002,rZI,R,528,182.014114,8.188751,-6.728821,-40.024073,1279.303030,154.159160,
sub-C003,rZI,R,496,170.981094,11.882252,-6.893971,-17.899129,1303.935484,169.602422,
sub-C004,rZI,R,537,185.116638,8.616588,-0.652444,-32.820602,1265.765363,163.251022,
sub-C005,rZI,R,508,175.119644,11.597797,-4.459181,-17.694979,1319.222441,150.896073,
sub-C006,rZI,R,410,141.336731,7.533932,2.175661,-16.443481,1246.326829,139.607818,
sub-C007,rZI,R,478,164.776138,16.594279,-1.972755,-47.924716,1242.960251,159.013760,
sub-C008,rZI,R,537,185.116638,8.846962,-5.443420,-12.454453,1300.610801,211.021607,
sub-C009,rZI,R,598,206.144760,7.358905,2.236690,-18.838091,1251.424749,125.375043,
sub-C010,rZI,R,411,141.679886,8.867813,-7.325628,-43.924983,1241.377129,138.687617,
sub-C011,rZI,R,468,161.328934,8.779161,-8.533744,-27.158631,1289.420940,135.856850,
sub-C012,rZI,R,478,164.777924,9.122983,-7.894830,-28.306765,1278.981172,138.954382,
sub-C013,rZI,R,514,177.187988,6.856541,-0.847776,-17.293973,1273.429961,141.067995,
sub-C015,rZI,R,400,137.889481,9.162965,-16.072240,-8.569418,1298.107500,140.656449,
sub-C016,rZI,R,499,172.017120,5.673177,3.134851,-14.121525,1323.130261,153.946716,
sub-C018,rZI,R,433,149.265381,11.714884,-11.611205,-12.187272,1250.655889,144.853644,
sub-C019,rZI,R,500,172.361862,7.119939,-9.403361,-22.162757,1281.388000,163.986868,
sub-C020,rZI,R,508,175.117737,9.763003,-1.386460,-18.382679,1219.870079,139.620290,
sub-C021,rZI,R,455,156.849274,8.360317,-5.296511,-6.048299,1245.958242,117.382768,
sub-C022,rZI,R,460,158.571182,8.209089,-3.716552,-39.687954,1214.215217,126.290150,
sub-C023,rZI,R,537,185.116638,9.804085,-4.158099,-25.655185,1264.018622,109.930251,
sub-C024,rZI,R,498,171.670532,11.835478,-4.798008,-15.233697,1283.393574,124.053121,
sub-C025,rZI,R,474,163.397263,11.563939,-16.264714,-24.488475,1250.869198,139.943781,
sub-C026,rZI,R,502,173.051300,9.638877,-7.436575,-12.428178,1295.348606,142.123432,
sub-C027,rZI,R,389,134.097534,6.527170,-8.962253,-17.138788,1247.501285,118.816601,
sub-C028,rZI,R,512,176.496613,10.628280,-5.530229,-36.513161,1301.820312,161.012400,
sub-C029,rZI,R,526,181.324661,8.133805,-3.258492,-42.619029,1144.804183,97.795636,
sub-C030,rZI,R,521,179.601059,12.804362,1.173576,-22.225436,1314.673704,166.506991,
sub-C031,rZI,R,520,179.256332,8.563779,-9.482443,-34.247981,1224.619231,130.826192,
sub-C032,rZI,R,543,187.184967,11.121941,-10.021088,-30.779626,1234.360958,119.662003,
sub-C033,rZI,R,514,177.186050,7.953489,-8.134027,-10.156465,1282.424125,147.631658,
sub-C034,rZI,R,463,159.605331,8.549098,-11.062093,-11.294274,1292.211663,142.603280,
