subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,RN,L,972,335.071411,-5.192928,-2.658546,-27.265380,1048.081276,48.165380,
sub-C002,RN,L,828,285.431213,-2.594244,-13.483766,-47.785420,1051.032609,47.725562,
sub-C003,RN,L,910,313.695129,1.312555,-16.555081,-23.681414,1105.584615,49.419145,
sub-C004,RN,L,897,309.217163,-4.484204,-9.869516,-38.847400,1069.624303,48.106123,
sub-C005,RN,L,887,305.769928,-1.999111,-12.489173,-22.460868,1132.102593,53.821371,
sub-C006,RN,L,712,245.443283,-2.768082,-5.711643,-20.171452,1088.632022,51.992015,
sub-C007,RN,L,824,284.049255,4.735509,-9.172679,-53.605671,1061.998786,52.224967,
sub-C008,RN,L,924,318.524689,-3.035759,-13.392330,-20.065817,1100.620130,60.722302,
sub-C009,RN,L,1010,348.170959,-4.716182,-6.610067,-24.043427,1104.115842,47.305949,
sub-C010,RN,L,710,244.751175,-2.686716,-13.771601,-50.322361,1070.071831,55.237956,
sub-C011,RN,L,849,292.667267,-2.842910,-17.063655,-32.386729,1117.707892,57.138213,
sub-C012,RN,L,804,277.157898,-1.488452,-17.271933,-32.299197,1115.047264,52.011760,
sub-C013,RN,L,791,272.676453,-3.738142,-9.118574,-24.508353,1092.940582,54.965078,
sub-C015,RN,L,779,268.539795,-2.088304,-24.826614,-14.694098,1121.326059,47.831258,
sub-C016,RN,L,859,296.117676,-4.918875,-5.859977,-18.826301,1169.890570,53.441772,
sub-C018,RN,L,744,256.474426,-0.488512,-19.980420,-16.193080,1094.904570,53.755468,
sub-C019,RN,L,807,278.192047,-4.586101,-17.637200,-26.511862,1104.340768,54.948987,
sub-C020,RN,L,845,291.288391,-0.695779,-11.953353,-23.100873,1082.075740,62.553779,
sub-C021,RN,L,759,261.645294,-2.996509,-14.665427,-10.797224,1098.638999,56.384015,
sub-C022,RN,L,823,283.704529,-2.845125,-11.002243,-48.773609,1027.981774,55.403066,
sub-C023,RN,L,899,309.906616,-1.245520,-12.749157,-31.046639,1133.101224,64.412522,
sub-C024,RN,L,799,275.431244,-0.286017,-14.078399,-20.342408,1141.678348,58.091885,
sub-C025,RN,L,777,267.847412,-0.398490,-24.275104,-29.383681,1126.956242,47.349824,
sub-C026,RN,L,747,257.508636,-3.197872,-14.388832,-18.699685,1097.053548,68.373461,
sub-C027,RN,L,785,270.608124,-3.814864,-15.717512,-22.822058,1076.084076,54.036298,
sub-C028,RN,L,851,293.356689,-2.884635,-14.947342,-42.002992,1102.842538,52.252699,
sub-C029,RN,L,1003,345.757874,-2.684853,-11.118675,-50.213718,1003.495513,49.021185,
sub-C030,RN,L,906,312.319672,0.514420,-8.040890,-25.825193,1088.533113,60.662343,
sub-C031,RN,L,892,307.493530,-4.355917,-15.758297,-41.936162,1076.012332,61.648517,
sub-C032,RN,L,894,308.182983,-0.950363,-18.484550,-36.000717,1071.178971,49.555577,
sub-C033,RN,L,948,326.794525,-3.798890,-15.903901,-16.347470,1102.432489,53.123282,
sub-C034,RN,L,882,304.042999,-2.778603,-20.709770,-17.938368,1105.017007,49.591987,
