subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,RN,R,1042,359.202118,4.794726,-2.179844,-27.187377,1049.973129,50.899094,
sub-C002,RN,R,874,301.288544,5.769324,-13.438356,-47.698794,1068.416476,46.801455,
sub-C003,RN,R,934,321.968414,10.026123,-15.843700,-23.025215,1113.435760,43.412546,
sub-C004,RN,R,884,304.735779,5.563896,-9.484941,-38.269795,1075.727376,53.612334,
sub-C005,RN,R,885,305.080475,7.898471,-12.867878,-22.448219,1125.779661,55.919909,
sub-C006,RN,R,726,250.269409,5.561926,-6.174320,-20.424149,1079.561983,49.924781,
sub-C007,RN,R,853,294.046112,13.734234,-9.193899,-54.215971,1067.989449,50.483913,
sub-C008,RN,R,926,319.214142,6.793710,-13.041924,-19.751307,1112.055076,57.510913,
sub-C009,RN,R,1076,370.922729,5.135679,-6.693551,-23.683188,1110.643123,47.549465,
sub-C010,RN,R,709,244.406464,6.734696,-13.750166,-50.320475,1081.248237,58.782207,
sub-C011,RN,R,854,294.390839,6.071138,-16.653037,-32.732995,1120.274005,53.122587,
sub-C012,RN,R,816,281.294556,6.954930,-16.950720,-32.221669,1113.444853,53.005955,
sub-C013,RN,R,811,279.570923,4.682446,-8.758108,-24.248987,1103.771887,54.516333,
sub-C015,RN,R,830,286.120667,6.828217,-24.240597,-13.932639,1115.274699,46.707459,
sub-C016,RN,R,888,306.114655,3.731274,-5.022082,-18.930963,1165.376126,56.212778,
sub-C018,RN,R,787,271.297577,8.208466,-19.963227,-16.225182,1088.980940,55.966533,
sub-C019,RN,R,801,276.123688,4.513692,-17.875691,-27.209226,1105.058677,52.453220,
sub-C020,RN,R,867,298.872192,7.784806,-10.473091,-23.516250,1079.108420,51.748345,
sub-C021,RN,R,796,274.400055,5.439478,-14.705337,-10.073253,1093.358040,60.274330,
sub-C022,RN,R,860,296.459167,6.116707,-10.295020,-47.937436,1033.184884,53.163591,
sub-C023,RN,R,913,314.732758,7.102408,-12.868836,-31.348533,1136.306681,59.825772,
sub-C024,RN,R,817,281.636230,9.050209,-13.285323,-20.146267,1141.663403,56.319798,
sub-C025,RN,R,896,308.869080,8.793833,-24.497966,-29.763417,1144.626116,44.498443,
sub-C026,RN,R,788,271.642303,6.700272,-14.669760,-18.732437,1100.569797,55.431301,
sub-C027,RN,R,835,287.844299,4.657667,-15.446162,-22.840167,1073.528144,56.222367,
sub-C028,RN,R,838,288.875305,7.363004,-13.948440,-42.150706,1112.161098,60.144403,
sub-C029,RN,R,1050,361.959900,5.096411,-11.681601,-50.155500,1007.347619,48.880744,
sub-C030,RN,R,920,317.145813,9.383390,-7.599313,-26.867216,1106.886957,62.493649,
sub-C031,RN,R,917,316.111633,5.778538,-15.498759,-41.967062,1071.377317,52.670926,
sub-C032,RN,R,911,314.043304,8.410222,-18.373478,-36.157214,1086.492865,49.765248,
sub-C033,RN,R,932,321.278992,5.371779,-15.847744,-16.496736,1096.057940,52.830118,
sub-C034,RN,R,878,302.664124,6.728615,-19.041965,-17.695770,1110.366743,48.600622,
