subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,STN,L,480,165.467377,-10.585160,3.776170,-24.466611,1005.814583,75.252151,
sub-C002,STN,L,413,142.370895,-7.404793,-8.916362,-42.775581,1025.891041,73.799191,
sub-C003,STN,L,458,157.881744,-4.495196,-11.190258,-21.194750,1045.200873,66.089282,
sub-C004,STN,L,422,145.473404,-10.477353,-3.961219,-35.862049,1044.758294,69.571839,
sub-C005,STN,L,410,141.336731,-7.323238,-6.269578,-19.840917,1074.597561,79.903037,
sub-C006,STN,L,353,121.687469,-7.713447,-0.105135,-17.774627,1026.473088,72.595509,
sub-C007,STN,L,398,137.198547,-0.127863,-4.034580,-49.483202,996.957286,90.334005,
sub-C008,STN,L,440,151.678436,-9.162996,-8.430076,-15.969515,1071.156818,71.269551,
sub-C009,STN,L,494,170.293503,-10.424057,-0.546425,-21.549252,1058.639676,74.530170,
sub-C010,STN,L,358,123.409744,-8.075046,-9.219937,-46.372968,1032.525140,69.080785,
sub-C011,STN,L,455,156.847565,-8.136833,-11.491609,-28.758228,1055.391209,61.184569,
sub-C012,STN,L,380,130.995010,-7.022659,-11.502645,-30.142731,1053.197368,87.997005,
sub-C013,STN,L,411,141.681442,-9.488039,-4.180766,-20.405565,1036.917275,84.329915,
sub-C015,STN,L,356,122.721642,-7.682351,-19.528873,-11.674523,1053.109551,74.322797,
sub-C016,STN,L,412,142.026169,-10.507372,-1.129641,-16.065673,1110.225728,80.986617,
sub-C018,STN,L,382,131.684448,-5.151953,-14.196423,-13.555393,1051.054974,58.652449,
sub-C019,STN,L,441,152.023163,-9.941049,-11.512968,-23.181822,1033.888889,71.196903,
sub-C020,STN,L,432,148.919022,-6.039175,-6.717563,-19.528658,1011.143519,77.103015,
sub-C021,STN,L,395,136.165863,-7.802457,-8.285425,-8.806138,1033.200000,67.975010,
sub-C022,STN,L,378,130.304138,-8.163972,-6.735670,-44.232173,1029.960317,74.345605,
sub-C023,STN,L,457,157.538742,-7.035155,-6.571819,-27.540147,1106.212254,69.957199,
sub-C024,STN,L,438,150.987335,-5.801676,-8.355791,-17.292034,1077.573059,79.994439,
sub-C025,STN,L,397,136.853836,-5.449196,-17.918602,-26.003297,1044.964736,68.565929,
sub-C026,STN,L,407,140.302536,-9.209735,-8.747660,-15.314637,1068.167076,72.027202,
sub-C027,STN,L,367,126.513596,-9.141575,-11.279700,-19.323039,1044.324251,71.033441,
sub-C028,STN,L,455,156.847565,-9.321443,-9.673180,-38.931102,1039.925275,101.093683,
sub-C029,STN,L,495,170.638229,-6.981971,-4.814656,-45.091325,983.929293,61.589416,
sub-C030,STN,L,416,143.405060,-4.747338,-1.846144,-22.498194,1058.375000,78.845701,
sub-C031,STN,L,466,160.641251,-10.281261,-11.544735,-36.713667,1029.772532,65.038911,
sub-C032,STN,L,412,142.026169,-6.316320,-13.071823,-32.962243,1034.791262,57.065337,
sub-C033,STN,L,412,142.024628,-8.937061,-10.561530,-12.592670,1068.618932,80.781420,
sub-C034,STN,L,398,137.198547,-9.282507,-16.221557,-14.028193,1060.414573,78.124531,
