subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,STN,R,431,148.575912,11.125667,4.356695,-24.843787,1033.538283,60.621646,
sub-C002,STN,R,380,130.995010,11.319304,-8.859449,-43.244099,1061.028947,60.283820,
sub-C003,STN,R,407,140.301010,15.227568,-9.519651,-19.625608,1090.400491,55.364438,
sub-C004,STN,R,379,130.650284,11.708408,-3.341259,-35.256687,1067.841689,55.157315,
sub-C005,STN,R,377,129.960846,14.563116,-7.469870,-20.061640,1120.877984,70.890018,
sub-C006,STN,R,349,120.308578,10.466467,-0.689109,-18.546331,1054.707736,65.061690,
sub-C007,STN,R,368,126.856949,19.644517,-4.289928,-50.602979,1043.989130,61.620708,
sub-C008,STN,R,451,155.470383,12.555344,-7.671839,-15.430596,1107.297118,87.785701,
sub-C009,STN,R,488,168.225174,11.036040,-0.619595,-20.567055,1095.092213,59.214621,
sub-C010,STN,R,313,107.897354,12.090619,-9.248163,-46.536617,1052.613419,49.945554,
sub-C011,STN,R,411,141.679886,11.586049,-10.890252,-29.712807,1079.715328,57.444346,
sub-C012,STN,R,359,123.755806,12.327568,-10.659645,-30.098708,1082.376045,60.830983,
sub-C013,STN,R,376,129.616104,10.093708,-3.112726,-20.034012,1078.962766,56.772328,
sub-C015,STN,R,338,116.516617,12.285244,-18.115788,-10.533105,1095.970414,58.661927,
sub-C016,STN,R,386,133.063354,8.869240,0.507792,-16.295334,1137.683938,63.140936,
sub-C018,STN,R,356,122.721642,14.465481,-14.318938,-14.228208,1066.550562,56.851179,
sub-C019,STN,R,375,129.271393,10.267160,-11.998448,-24.683926,1083.269333,62.819489,
sub-C020,STN,R,383,132.027740,12.702915,-3.859123,-20.735564,1051.065274,70.948978,
sub-C021,STN,R,348,119.963852,11.280026,-8.434985,-7.750964,1072.281609,58.606744,
sub-C022,STN,R,372,128.235825,11.275609,-5.539489,-42.659125,1019.981183,69.769912,
sub-C023,STN,R,413,142.370895,12.860213,-7.041335,-28.103303,1130.157385,55.563940,
sub-C024,STN,R,421,145.127106,14.774889,-7.078695,-17.155985,1120.885986,70.015007,
sub-C025,STN,R,366,126.167503,14.824224,-18.671270,-26.901438,1091.224044,60.628662,
sub-C026,STN,R,381,131.339737,12.754985,-9.854491,-15.189108,1086.800525,55.468313,
sub-C027,STN,R,340,117.206055,9.595732,-10.658413,-19.351108,1073.076471,63.917489,
sub-C028,STN,R,382,131.683014,13.732391,-8.177588,-39.051847,1080.214660,69.585130,
sub-C029,STN,R,462,159.262344,10.642993,-6.020600,-45.175778,1007.545455,52.039084,
sub-C030,STN,R,386,133.063354,15.837826,-1.540674,-24.519050,1097.323834,74.466074,
sub-C031,STN,R,420,144.783951,11.899570,-11.008373,-37.078262,1070.673810,76.864949,
sub-C032,STN,R,394,135.821152,14.303336,-13.023128,-33.375165,1075.619289,48.743157,
sub-C033,STN,R,396,136.509094,10.869138,-10.562614,-13.004917,1080.505051,60.199983,
sub-C034,STN,R,393,135.474945,12.057277,-12.635877,-13.778173,1092.750636,51.978007,
