subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ZI,L,562,192.742050,-5.644324,35.338506,11.266033,1519.937722,169.134637
sub-C002,ZI,L,659,225.999039,-7.172354,31.803005,7.938331,1516.420334,171.499220
sub-C003,ZI,L,715,245.222549,-6.126778,40.050498,-11.272444,1384.671329,132.204894
sub-C004,ZI,L,609,208.856476,-5.370334,35.975925,24.601099,1459.582923,131.963213
sub-C005,ZI,L,514,176.272400,-8.176014,32.336280,-5.029530,1456.626459,184.551510
sub-C006,ZI,L,531,182.114319,-11.190982,42.743143,-3.410288,1497.201507,166.175535
sub-C007,ZI,L,645,221.209915,-5.869485,41.263745,-1.159104,1407.023256,148.763917
sub-C008,ZI,L,505,173.182144,-9.311816,44.440070,-11.661520,1452.899010,149.060709
sub-C009,ZI,L,649,222.576904,-8.837874,36.920501,-0.492027,1445.499230,162.302702
sub-C010,ZI,L,580,198.932617,-5.301245,31.707582,-3.655144,1434.058621,165.888637
sub-C011,ZI,L,648,222.246063,-8.801638,31.243412,1.202786,1439.592593,165.946130
sub-C012,ZI,L,588,201.647949,-7.827211,38.104078,-12.196243,1459.328231,168.356914
sub-C013,ZI,L,579,198.596985,-7.798732,32.687530,3.511197,1504.499249,174.363016
sub-C014,ZI,L,814,279.201996,-12.086098,35.953205,2.020819,1538.402864,295.606724
sub-C015,ZI,L,643,220.548996,-9.642946,36.945258,-5.387610,1333.560118,172.810231
sub-C016,ZI,L,402,137.886002,-10.530316,26.680675,-40.615074,1526.331938,434.616596
sub-C017,ZI,L,532,182.475998,-6.347312,35.666090,-8.238017,1428.524118,153.945274
sub-C018,ZI,L,744,255.192001,-6.956092,37.531281,-0.611603,1449.991498,223.714404
sub-C019,ZI,L,694,238.041992,-9.023639,37.802051,-18.582141,1393.945143,166.037456
sub-C020,ZI,L,699,239.756989,-5.631749,31.749711,-5.428830,1357.220840,150.892656
sub-C021,ZI,L,726,249.017990,-12.257795,35.989208,-26.186149,1372.749807,163.925745
sub-C022,ZI,L,735,252.104996,-12.153998,27.124974,-20.212447,1339.380794,156.437513
sub-C023,ZI,L,622,213.345993,-11.856400,33.408886,-20.030703,1453.464520,152.795146
sub-C024,ZI,L,651,223.292984,-10.715524,27.265128,4.026801,1408.037956,181.251181
sub-C025,ZI,L,671,230.152985,-13.181612,36.086376,-15.640649,1376.245411,190.521181
sub-C026,ZI,L,629,215.746994,-6.781983,32.305750,0.009943,1429.596933,159.283612
sub-C027,ZI,L,579,198.596985,-8.806728,35.485416,-8.009466,1409.092531,199.272049
sub-C028,ZI,L,688,235.954681,-10.665736,40.740971,-4.387735,1414.386628,143.780740
sub-C029,ZI,L,676,231.867996,-10.696385,34.149883,-8.915743,1425.494293,162.682047
sub-C030,ZI,L,542,185.886948,-12.472568,40.188687,-6.744992,1405.081181,157.951515
sub-C031,ZI,L,580,198.939987,-5.804752,27.843818,-11.180066,1533.433530,207.883707
sub-C032,ZI,L,524,179.731979,-13.219227,28.094173,-3.844606,1188.780445,217.769465
sub-C001,ZI,R,523,179.366699,10.524046,36.299882,11.095302,1464.439771,137.591063
sub-C002,ZI,R,636,218.111374,9.756121,31.780300,7.200444,1526.889937,196.698019
sub-C003,ZI,R,691,236.991302,11.949621,42.549118,-11.428272,1362.746744,143.020920
sub-C004,ZI,R,588,201.654541,11.197742,38.672696,24.898918,1472.974490,136.204530
sub-C005,ZI,R,486,166.670013,8.919455,35.867434,-5.822797,1436.432099,166.318210
sub-C006,ZI,R,503,172.511322,5.409665,43.482968,-2.764356,1519.829026,164.599655
sub-C007,ZI,R,614,210.578125,10.707473,41.313708,-1.350445,1397.387622,147.157769
sub-C008,ZI,R,533,182.784332,8.173962,45.178049,-12.132738,1428.564728,165.346088
sub-C009,ZI,R,670,229.778931,8.802398,37.075125,-0.239684,1467.941791,207.519303
