subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ZI,R,523,179.366699,10.524046,36.299882,11.095302,1464.439771,137.591063,
sub-C002,ZI,R,636,218.111374,9.756121,31.780300,7.200444,1526.889937,196.698019,
sub-C003,ZI,R,691,236.991302,11.949621,42.549118,-11.428272,1362.746744,143.020920,
sub-C004,ZI,R,588,201.654541,11.197742,38.672696,24.898918,1472.974490,136.204530,
sub-C005,ZI,R,486,166.670013,8.919455,35.867434,-5.822797,1436.432099,166.318210,
sub-C006,ZI,R,503,172.511322,5.409665,43.482968,-2.764356,1519.829026,164.599655,
sub-C007,ZI,R,614,210.578125,10.707473,41.313708,-1.350445,1397.387622,147.157769,
sub-C008,ZI,R,533,182.784332,8.173962,45.178049,-12.132738,1428.564728,165.346088,
sub-C009,ZI,R,670,229.778931,8.802398,37.075125,-0.239684,1467.941791,207.519303,
sub-C010,ZI,R,558,191.386917,12.500042,34.755884,-4.864323,1384.125448,162.912579,
sub-C011,ZI,R,557,191.035583,8.335956,34.135901,1.321338,1424.350090,155.489253,
sub-C012,ZI,R,548,187.930389,9.365090,39.217573,-10.925223,1452.594891,155.520792,
sub-C013,ZI,R,552,189.335983,10.260683,34.765274,2.231643,1482.677306,165.992596,
sub-C014,ZI,R,721,247.302979,5.271017,36.243992,1.100976,1471.174833,186.556084,
sub-C015,ZI,R,629,215.746994,7.561477,36.259383,-6.156349,1318.263723,147.440267,
sub-C016,ZI,R,438,150.233994,3.875645,27.639723,-41.435863,1489.920737,417.458798,
sub-C017,ZI,R,522,179.045990,10.042548,37.024728,-7.660304,1410.625554,165.589764,
sub-C018,ZI,R,783,268.568970,10.254313,38.801870,-0.979244,1402.047988,161.836918,
sub-C019,ZI,R,687,235.641006,9.731089,38.808602,-17.831843,1364.738855,165.560393,
sub-C020,ZI,R,730,250.389984,13.387586,34.068910,-7.461882,1351.832350,183.508391,
sub-C021,ZI,R,714,244.901993,6.411983,36.547051,-25.857095,1370.567866,161.513582,
sub-C022,ZI,R,716,245.587997,7.855495,29.933318,-20.644550,1335.375124,161.836065,
sub-C023,ZI,R,621,213.002975,5.281201,35.687345,-19.297707,1394.587711,142.967506,
sub-C024,ZI,R,601,206.142990,9.280405,26.201879,3.643883,1387.278991,152.744775,
sub-C025,ZI,R,641,219.862991,6.370886,38.134475,-16.246403,1359.590785,184.320277,
sub-C026,ZI,R,627,215.060989,11.453793,35.792799,0.359809,1411.369807,177.334694,
sub-C027,ZI,R,558,191.394012,10.364069,37.930371,-8.629666,1379.848168,164.695487,
sub-C028,ZI,R,680,233.211014,10.231184,43.319585,-4.679261,1408.575000,189.214002,
sub-C029,ZI,R,607,208.200989,10.158050,35.542272,-9.408129,1391.592672,176.074233,
sub-C030,ZI,R,524,179.713577,6.315457,41.298438,-6.625806,1396.889313,160.934648,
sub-C031,ZI,R,536,183.847992,11.733234,28.133105,-12.347245,1474.889608,158.234233,
sub-C032,ZI,R,493,169.098999,4.804043,28.563260,-3.845403,1134.190135,111.924071,
