subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,cZI,L,209,71.678093,-9.043803,29.080422,9.768710,1569.626794,125.173166,
sub-C002,cZI,L,243,83.335007,-11.250426,24.955481,6.806424,1553.057613,145.407964,
sub-C003,cZI,L,273,93.630417,-9.670805,32.773679,-13.548924,1406.336996,113.386718,
sub-C004,cZI,L,231,79.221428,-8.106102,29.039213,23.608868,1478.926407,128.700187,
sub-C005,cZI,L,198,67.902596,-11.454126,26.524554,-6.823400,1491.232323,170.713214,
sub-C006,cZI,L,192,65.849251,-14.273547,36.088556,-5.534143,1540.265625,137.425381,
sub-C007,cZI,L,264,90.541733,-9.040086,35.400655,-2.110858,1450.303030,136.776743,
sub-C008,cZI,L,178,61.042423,-12.561534,38.226637,-13.548685,1503.101124,148.371997,
sub-C009,cZI,L,243,83.337730,-12.177784,30.459129,-2.322463,1483.827160,137.995460,
sub-C010,cZI,L,215,73.742264,-8.811763,25.403334,-5.878219,1473.200000,130.018338,
sub-C011,cZI,L,233,79.912544,-11.417765,24.292104,-0.758735,1447.390558,134.116095,
sub-C012,cZI,L,215,73.731819,-10.740773,31.714621,-14.835304,1487.781395,129.695631,
sub-C013,cZI,L,218,74.773994,-10.776888,26.390647,2.008975,1505.011267,123.195222,
sub-C014,cZI,L,257,88.150993,-15.603405,28.749606,-1.134077,1502.644843,161.507484,
sub-C015,cZI,L,253,86.778992,-13.191464,30.414349,-7.301032,1357.132535,114.451125,
sub-C016,cZI,L,149,51.106995,-13.728468,20.325117,-39.989610,1895.363247,532.336447,
sub-C017,cZI,L,183,62.768993,-9.899591,28.742202,-11.488374,1421.843015,127.282415,
sub-C018,cZI,L,265,90.894989,-10.735975,29.871955,-3.048952,1438.709827,122.461069,
sub-C019,cZI,L,232,79.575996,-12.320996,31.076729,-21.734914,1390.767779,116.896088,
sub-C020,cZI,L,263,90.208992,-9.208955,24.383321,-7.477325,1390.341868,126.885974,
sub-C021,cZI,L,237,81.291000,-15.924140,29.443713,-30.117027,1394.091897,140.302621,
sub-C022,cZI,L,291,99.812996,-15.821517,20.820953,-22.223984,1356.383622,121.541262,
sub-C023,cZI,L,231,79.232994,-14.562541,26.948866,-23.336541,1496.024860,130.749274,
sub-C024,cZI,L,237,81.291000,-14.895282,20.653295,1.707889,1402.533348,111.736750,
sub-C025,cZI,L,228,78.203995,-16.651961,28.471232,-19.184636,1349.544758,121.771054,
sub-C026,cZI,L,233,79.918991,-10.094044,25.693235,-2.833091,1432.914422,122.511688,
sub-C027,cZI,L,218,74.773994,-11.928482,28.728252,-9.430287,1401.368717,109.337341,
sub-C028,cZI,L,261,89.511879,-13.758383,33.654235,-6.340801,1440.674330,127.274708,
sub-C029,cZI,L,253,86.778992,-13.637891,27.896264,-11.707479,1481.113668,143.731601,
sub-C030,cZI,L,187,64.134430,-15.413979,33.338157,-8.867884,1425.026738,124.433704,
sub-C031,cZI,L,209,71.687004,-9.383804,21.569841,-13.073820,1542.553025,124.346137,
sub-C032,cZI,L,193,66.198990,-16.221705,21.767375,-5.541585,1145.987183,302.928954,
