subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,cZI,R,171,58.645706,13.850715,29.354023,9.691616,1511.900585,103.346969,
sub-C002,cZI,R,224,76.819107,13.290609,24.558409,6.058026,1568.352679,168.125182,
sub-C003,cZI,R,235,80.597618,16.484402,35.359673,-13.328035,1387.400000,131.538568,
sub-C004,cZI,R,183,62.759827,15.581191,31.889069,24.427415,1496.519126,108.524512,
sub-C005,cZI,R,150,51.441364,13.247971,30.009137,-8.055675,1418.553333,109.685917,
sub-C006,cZI,R,165,56.589199,9.222837,36.583592,-4.337098,1537.175758,121.249740,
sub-C007,cZI,R,220,75.451447,14.163521,34.711099,-2.187848,1429.954545,128.071854,
sub-C008,cZI,R,171,58.641872,11.558964,38.435449,-14.181383,1448.982456,132.003007,
sub-C009,cZI,R,235,80.594109,12.284307,30.089186,-2.098627,1494.140426,142.398057,
sub-C010,cZI,R,184,63.109665,15.996662,27.935887,-7.428812,1425.940217,118.161285,
sub-C011,cZI,R,184,63.106911,12.669521,27.183142,-0.289752,1470.282609,150.761225,
sub-C012,cZI,R,180,61.728962,13.168299,32.318692,-12.818316,1481.838889,129.790126,
sub-C013,cZI,R,195,66.884995,14.348629,28.558061,0.713327,1504.373640,130.917457,
sub-C014,cZI,R,204,69.972000,8.956932,28.013575,-1.676659,1491.830220,140.919758,
sub-C015,cZI,R,209,71.687004,10.400344,28.542744,-8.220564,1331.618156,103.320343,
sub-C016,cZI,R,141,48.362995,8.356930,20.709616,-41.168638,1863.044869,568.807542,
sub-C017,cZI,R,157,53.850998,13.853334,29.807837,-10.566086,1411.244966,124.317010,
sub-C018,cZI,R,266,91.237999,13.631755,30.796389,-3.154653,1424.093112,129.438439,
sub-C019,cZI,R,202,69.285995,13.745418,31.394296,-20.589919,1359.673525,102.997988,
sub-C020,cZI,R,238,81.633995,17.285777,26.502654,-10.547726,1333.352065,116.153386,
sub-C021,cZI,R,213,73.058998,10.498357,29.508569,-29.755502,1377.329315,104.765158,
sub-C022,cZI,R,230,78.889999,12.488171,23.191002,-22.846272,1369.219998,130.364534,
sub-C023,cZI,R,184,63.112003,9.346112,28.416149,-22.507644,1424.342412,120.487944,
sub-C024,cZI,R,218,74.773994,12.755648,19.026084,0.997690,1389.339806,100.637159,
sub-C025,cZI,R,194,66.542000,9.966816,30.482038,-19.474233,1368.903468,122.660691,
sub-C026,cZI,R,206,70.657997,15.761621,29.164583,-2.473317,1435.506331,126.654618,
sub-C027,cZI,R,194,66.542000,14.628114,31.182491,-10.130795,1385.603146,123.234228,
sub-C028,cZI,R,227,77.851326,14.751850,36.048931,-6.930181,1433.370044,120.749410,
sub-C029,cZI,R,174,59.681995,14.041239,28.272155,-12.578841,1403.355741,113.752096,
sub-C030,cZI,R,184,63.105537,10.671821,34.673077,-8.444922,1422.130435,131.454139,
sub-C031,cZI,R,183,62.768993,14.888939,21.708817,-14.536418,1529.727317,142.566559,
sub-C032,cZI,R,144,49.391998,8.649699,21.192967,-5.608884,1095.386671,62.620133,
