subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fct,L,277,94.999191,-6.963126,31.891317,12.055207,1322.595668,94.897517,
sub-C002,fct,L,416,142.664032,-8.839073,28.029375,9.088061,1382.723558,95.602506,
sub-C003,fct,L,402,137.873367,-7.578800,36.087394,-10.701427,1277.144279,80.842349,
sub-C004,fct,L,318,109.058067,-6.590445,32.412248,25.619047,1378.779874,100.846709,
sub-C005,fct,L,290,99.453300,-9.075074,29.064175,-4.355468,1319.382759,81.559084,
sub-C006,fct,L,274,93.972366,-12.517232,38.998172,-3.109578,1372.113139,84.885519,
sub-C007,fct,L,341,116.949738,-7.243277,38.570962,0.413220,1269.237537,113.658981,
sub-C008,fct,L,262,89.848953,-10.895023,40.951927,-11.132453,1334.595420,81.720604,
sub-C009,fct,L,305,104.600861,-10.367248,33.489206,0.166749,1320.714754,95.374680,
sub-C010,fct,L,293,100.495270,-6.776245,27.928391,-3.232451,1303.440273,101.758783,
sub-C011,fct,L,347,119.011398,-9.920498,27.445972,1.999038,1286.484150,95.265838,
sub-C012,fct,L,301,103.224541,-9.140826,34.390889,-11.933657,1319.710963,94.906126,
sub-C013,fct,L,326,111.817993,-8.859300,29.140918,4.451369,1334.928348,76.447768,
sub-C014,fct,L,358,122.793999,-13.982593,31.434002,1.905338,1329.522412,83.572076,
sub-C015,fct,L,332,113.875992,-11.219438,33.493021,-4.773696,1203.479484,80.202005,
sub-C016,fct,L,221,75.802994,-11.360356,23.468136,-39.321331,1507.960111,410.880255,
sub-C017,fct,L,272,93.295998,-8.039593,31.529997,-8.552344,1283.461836,77.610544,
sub-C018,fct,L,366,125.537987,-8.665819,33.298374,-0.136227,1318.435669,82.852872,
sub-C019,fct,L,300,102.900002,-10.577960,33.879381,-18.873971,1255.069995,84.343736,
sub-C020,fct,L,372,127.596001,-6.957137,27.809594,-4.952963,1240.670921,90.523400,
sub-C021,fct,L,358,122.793999,-14.016169,31.989360,-26.808899,1243.461784,84.125758,
sub-C022,fct,L,362,124.165993,-13.536992,23.955136,-19.397279,1206.826045,74.997080,
sub-C023,fct,L,295,101.184998,-12.885592,29.661410,-20.276771,1338.774996,82.949605,
sub-C024,fct,L,345,118.334999,-12.606770,23.414362,4.310550,1283.944508,82.123172,
sub-C025,fct,L,338,115.933998,-14.842485,31.414837,-16.161341,1250.465145,82.343978,
sub-C026,fct,L,336,115.248001,-8.015921,28.493588,0.139090,1297.513734,80.069008,
sub-C027,fct,L,304,104.272003,-10.276152,31.948750,-7.238126,1269.525115,75.378888,
sub-C028,fct,L,349,119.692123,-11.994309,36.977299,-3.693257,1321.753582,90.195681,
sub-C029,fct,L,311,106.672997,-12.074458,30.322114,-8.970759,1281.189949,77.949140,
sub-C030,fct,L,271,92.943474,-13.956176,36.346233,-6.648132,1292.291513,91.772504,
sub-C031,fct,L,293,100.498993,-7.087162,24.186636,-10.720296,1374.403191,89.290861,
sub-C032,fct,L,253,86.778992,-14.553732,24.657687,-3.324790,1125.861586,113.929293,
