subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fct,R,280,96.028069,11.606649,32.279590,11.519174,1340.746429,83.148548,
sub-C002,fct,R,389,133.404602,10.792499,27.909712,7.814072,1351.141388,89.932868,
sub-C003,fct,R,387,132.728836,13.524577,38.271414,-11.190062,1223.328165,80.998614,
sub-C004,fct,R,331,113.516418,12.822338,34.730655,25.518442,1324.782477,84.835605,
sub-C005,fct,R,294,100.825073,10.584778,32.162942,-5.807957,1266.544218,82.654900,
sub-C006,fct,R,289,99.116844,6.838693,39.257307,-2.570992,1341.903114,78.020592,
sub-C007,fct,R,305,104.603142,11.655137,38.066089,-0.596732,1229.783607,77.570675,
sub-C008,fct,R,282,96.707649,9.254077,41.207803,-12.293923,1292.609929,80.566745,
sub-C009,fct,R,329,112.831757,9.892946,33.130872,0.069960,1293.492401,82.574619,
sub-C010,fct,R,276,94.664482,13.853904,30.586040,-5.043516,1229.351449,72.895415,
sub-C011,fct,R,311,106.664398,9.929409,29.978459,1.681796,1259.061093,82.550353,
sub-C012,fct,R,291,99.795158,10.525852,35.135486,-10.828768,1287.216495,68.145417,
sub-C013,fct,R,321,110.102997,11.730754,31.366620,2.750937,1296.079747,81.442777,
sub-C014,fct,R,330,113.189995,6.782031,31.141296,0.547397,1305.933734,79.918477,
sub-C015,fct,R,335,114.904991,8.298958,31.938117,-6.047914,1179.014758,74.025416,
sub-C016,fct,R,203,69.628998,5.457014,23.792349,-40.666684,1578.403088,451.018062,
sub-C017,fct,R,273,93.638992,11.436686,32.683776,-8.319682,1251.651326,67.273028,
sub-C018,fct,R,420,144.059998,11.478213,34.295869,-0.790419,1266.152017,74.582557,
sub-C019,fct,R,335,114.904991,11.216212,34.248670,-18.354705,1219.458390,77.533609,
sub-C020,fct,R,395,135.485001,14.918924,29.667922,-7.799508,1192.132191,71.906885,
sub-C021,fct,R,371,127.252983,8.037112,32.296899,-26.840340,1215.519543,71.717627,
sub-C022,fct,R,364,124.851997,9.484277,26.047139,-20.651017,1192.513171,72.533219,
sub-C023,fct,R,307,105.300995,6.866703,31.224903,-20.171332,1277.092318,68.099103,
sub-C024,fct,R,346,118.677994,10.358447,22.167033,3.392076,1239.212386,65.900608,
sub-C025,fct,R,320,109.760002,7.789363,33.524998,-17.014838,1224.716592,70.502202,
sub-C026,fct,R,319,109.417000,12.945874,31.938374,0.105293,1264.353859,66.464001,
sub-C027,fct,R,304,104.272003,12.106614,34.287569,-8.279734,1217.728452,67.490100,
sub-C028,fct,R,368,126.208321,11.992730,39.188798,-4.636137,1267.888587,68.024768,
sub-C029,fct,R,309,105.987000,11.704087,31.254091,-10.196044,1243.834863,70.920288,
sub-C030,fct,R,286,98.087952,7.986834,37.627523,-6.670821,1265.531469,74.553059,
sub-C031,fct,R,311,106.672997,12.688142,24.527088,-12.201994,1363.022055,74.580618,
sub-C032,fct,R,244,83.691994,6.157528,24.228484,-3.980762,1033.053392,45.089189,
