subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fl,R,109,37.382351,8.305307,40.943476,11.838989,1352.990826,129.232384,
sub-C002,fl,R,131,44.925453,7.325876,37.184824,8.115064,1413.030534,110.668037,
sub-C003,fl,R,140,48.015602,8.874077,47.775045,-9.999420,1272.307143,90.757951,
sub-C004,fl,R,109,37.381538,8.635066,42.911707,25.002991,1392.935780,103.407077,
sub-C005,fl,R,106,36.351898,6.528341,39.631663,-4.433987,1379.556604,137.723054,
sub-C006,fl,R,105,36.011311,3.075695,48.128963,-1.727762,1416.857143,108.663952,
sub-C007,fl,R,125,42.870140,8.180420,46.295395,-0.782365,1315.664000,113.466845,
sub-C008,fl,R,105,36.008171,6.193406,49.536379,-11.010995,1326.142857,116.251504,
sub-C009,fl,R,121,41.497391,6.654201,41.868302,1.175328,1330.057851,82.823436,
sub-C010,fl,R,113,38.757565,10.378752,39.078771,-3.451292,1278.805310,91.676241,
sub-C011,fl,R,113,38.755875,5.547654,38.638803,2.154019,1322.769912,110.094603,
sub-C012,fl,R,115,39.437950,6.992361,44.024587,-9.717312,1353.052174,133.407491,
sub-C013,fl,R,118,40.473999,7.629041,39.256650,3.368996,1382.180902,103.530799,
sub-C014,fl,R,175,60.024998,3.808663,40.508258,2.357966,1388.422923,158.228941,
sub-C015,fl,R,140,48.019997,5.652971,41.570834,-4.953384,1271.800970,141.594325,
sub-C016,fl,R,87,29.840998,1.159966,32.232229,-41.367367,1320.320407,74.092056,
sub-C017,fl,R,103,35.328999,8.142649,41.455811,-5.837335,1335.880641,138.025551,
sub-C018,fl,R,157,53.850998,8.334261,44.336808,0.500660,1293.533628,101.799765,
sub-C019,fl,R,143,49.049000,7.752021,43.218179,-16.395472,1363.486661,187.775824,
sub-C020,fl,R,157,53.850998,10.850067,39.109235,-5.789753,1301.294749,215.884927,
sub-C021,fl,R,151,51.792999,4.180169,40.717158,-23.744227,1297.443063,129.322688,
sub-C022,fl,R,137,46.990997,5.073782,34.242515,-19.290219,1260.892842,113.694243,
sub-C023,fl,R,130,44.590000,3.031797,40.172191,-17.542881,1325.987367,98.902864,
sub-C024,fl,R,116,39.787998,7.115100,31.306546,5.508164,1320.718512,119.315442,
sub-C025,fl,R,129,44.246998,4.444895,42.621053,-14.662101,1295.992598,144.549624,
sub-C026,fl,R,137,46.990997,8.751701,40.335654,2.079205,1315.556787,126.556362,
sub-C027,fl,R,109,37.386997,7.735956,42.436329,-7.858658,1293.591543,149.645826,
sub-C028,fl,R,137,46.985161,7.275352,48.397648,-3.364475,1285.583942,109.881195,
sub-C029,fl,R,124,42.531994,8.024684,39.742906,-7.765779,1290.272208,146.410038,
sub-C030,fl,R,103,35.325378,3.472991,46.299533,-5.259874,1323.446602,145.020399,
sub-C031,fl,R,99,33.956997,9.464632,32.955225,-10.660423,1348.378181,88.674039,
sub-C032,fl,R,104,35.671997,2.721224,32.724254,-3.098309,1131.231579,107.513299,
