subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ft,L,187,64.133026,-3.918937,37.286317,14.524445,1355.235294,102.812222,
sub-C002,ft,L,213,73.046738,-4.933208,34.713577,11.282679,1418.929577,114.724361,
sub-C003,ft,L,241,82.655426,-4.008560,42.939244,-7.420526,1283.215768,95.107281,
sub-C004,ft,L,193,66.189323,-4.031646,39.319163,27.878455,1388.113990,78.633296,
sub-C005,ft,L,160,54.870789,-5.911839,34.458480,-1.615307,1359.193750,141.965781,
sub-C006,ft,L,177,60.704781,-9.582991,44.924703,-0.240674,1383.440678,96.629377,
sub-C007,ft,L,200,68.592224,-3.913917,44.363945,2.467308,1278.970000,97.764352,
sub-C008,ft,L,169,57.956005,-8.093477,46.346950,-8.187150,1373.704142,104.685220,
sub-C009,ft,L,200,68.590729,-7.073596,39.288494,2.900642,1343.930000,106.762758,
sub-C010,ft,L,171,58.650822,-3.284791,33.251364,-0.283819,1288.046784,98.910584,
sub-C011,ft,L,183,62.763931,-7.214632,33.535048,4.616110,1320.426230,115.019558,
sub-C012,ft,L,194,66.530106,-6.146745,40.034533,-8.639962,1301.572165,88.365043,
sub-C013,ft,L,188,64.483994,-6.273171,34.934714,6.857528,1418.894413,142.872548,
sub-C014,ft,L,271,92.952995,-10.975873,37.034016,5.550961,1369.670423,119.739635,
sub-C015,ft,L,207,71.000992,-7.905114,39.611480,-1.766203,1244.949758,146.994600,
sub-C016,ft,L,127,43.561001,-8.165605,29.015464,-38.654668,1374.073070,96.790437,
sub-C017,ft,L,179,61.396999,-4.875485,37.342377,-4.933326,1397.561357,160.133028,
sub-C018,ft,L,230,78.889999,-5.372396,39.805649,3.161612,1325.500188,115.758444,
sub-C019,ft,L,229,78.546997,-8.107763,39.074043,-15.048441,1332.025678,157.496670,
sub-C020,ft,L,218,74.773994,-3.438655,34.423027,-1.912936,1279.396443,149.475121,
sub-C021,ft,L,242,83.005997,-10.964658,36.913950,-22.314235,1253.778179,130.420220,
sub-C022,ft,L,233,79.918991,-9.711296,29.934986,-16.457986,1262.069073,115.036081,
sub-C023,ft,L,195,66.884995,-10.539485,35.163025,-16.191073,1355.963256,121.733898,
sub-C024,ft,L,199,68.257004,-8.651335,29.340283,7.325929,1286.911665,111.475267,
sub-C025,ft,L,228,78.203995,-11.837830,37.902515,-12.226363,1311.055993,167.384970,
sub-C026,ft,L,202,69.285995,-5.069851,34.284605,3.864563,1299.926227,75.991372,
sub-C027,ft,L,185,63.455002,-7.179975,37.892628,-4.929834,1313.503904,145.458924,
sub-C028,ft,L,210,72.021049,-8.960184,43.578902,-0.929637,1314.590476,115.390180,
sub-C029,ft,L,212,72.715996,-9.390940,35.609322,-5.454781,1301.039805,150.721988,
sub-C030,ft,L,168,57.618095,-11.374427,42.277562,-3.677485,1299.059524,122.300587,
sub-C031,ft,L,187,64.140999,-3.940758,29.639895,-7.870187,1364.295759,133.870588,
sub-C032,ft,L,176,60.367996,-11.756246,29.894445,-0.981692,1167.018199,173.416510,
