subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ft,R,173,59.331623,9.322628,37.979691,14.063308,1342.450867,95.829695,
sub-C002,ft,R,207,70.989075,8.506176,34.547339,10.673412,1397.632850,99.118692,
sub-C003,ft,R,250,85.742149,10.471796,44.610848,-7.709195,1237.064000,69.156507,
sub-C004,ft,R,205,70.304726,10.285238,40.726278,27.931433,1378.356098,69.904171,
sub-C005,ft,R,162,55.556671,7.785902,36.798967,-2.308578,1280.716049,87.217189,
sub-C006,ft,R,171,58.646988,4.274222,45.325523,0.282961,1393.087719,97.587658,
sub-C007,ft,R,196,67.220375,9.214813,43.862845,1.986937,1249.811224,82.666646,
sub-C008,ft,R,162,55.555462,7.723065,46.703825,-8.786954,1327.327160,91.194069,
sub-C009,ft,R,194,66.533005,7.861814,38.924545,3.579883,1342.902062,104.434702,
sub-C010,ft,R,177,60.708752,11.802139,35.679569,-1.431225,1259.774011,69.485159,
sub-C011,ft,R,185,63.449883,6.981934,35.704214,4.497749,1246.654054,74.871987,
sub-C012,ft,R,188,64.472473,8.104437,40.776156,-7.761572,1300.244681,83.374702,
sub-C013,ft,R,177,60.711002,8.997143,36.692667,5.857976,1339.555170,85.370307,
sub-C014,ft,R,279,95.697006,4.717414,37.255864,4.611112,1325.461401,76.221997,
sub-C015,ft,R,198,67.913994,6.718050,38.427884,-2.702746,1198.329833,95.019280,
sub-C016,ft,R,134,45.961998,2.625681,29.158997,-39.104613,1383.666153,79.182428,
sub-C017,ft,R,173,59.338997,9.402857,38.350493,-4.267859,1275.475923,78.399464,
sub-C018,ft,R,263,90.208992,9.526898,41.054226,2.672144,1260.805560,80.016700,
sub-C019,ft,R,246,84.377991,9.031435,39.898802,-14.449051,1262.800103,95.344101,
sub-C020,ft,R,243,83.348991,12.930116,36.182395,-3.857188,1213.827197,89.163130,
sub-C021,ft,R,236,80.947998,5.623308,37.235806,-22.095886,1225.483540,90.321878,
sub-C022,ft,R,244,83.691994,6.652145,31.586708,-17.194664,1204.185173,86.812582,
sub-C023,ft,R,219,75.116997,4.688665,36.768816,-15.873227,1292.368276,83.220913,
sub-C024,ft,R,200,68.599998,8.338703,28.430246,7.149244,1259.891365,97.928807,
sub-C025,ft,R,221,75.802994,5.881384,39.465917,-13.075624,1285.826944,132.574109,
sub-C026,ft,R,209,71.687004,10.226044,37.210536,4.110028,1247.490802,73.679031,
sub-C027,ft,R,177,60.711002,9.208498,40.044305,-5.715267,1231.825512,80.671521,
sub-C028,ft,R,218,74.764702,8.865164,45.370282,-1.177974,1267.013761,69.611064,
sub-C029,ft,R,200,68.599998,9.774047,36.494998,-6.075269,1240.037477,81.670205,
sub-C030,ft,R,164,56.246231,5.171774,43.412250,-3.572966,1291.213415,92.914616,
sub-C031,ft,R,167,57.281002,10.958922,29.922072,-8.791811,1359.012039,85.733560,
sub-C032,ft,R,179,61.396999,3.975961,29.748315,-1.008953,1038.845471,57.106460,
