subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hf,L,114,39.097137,-1.800935,37.153933,12.039590,1380.929825,145.303449,
sub-C002,hf,L,141,48.354881,-2.803367,33.876428,8.666157,1426.652482,135.632328,
sub-C003,hf,L,151,51.788258,-1.687053,42.863279,-9.970067,1302.834437,107.195922,
sub-C004,hf,L,118,40.468090,-1.572166,38.559479,25.033196,1401.398305,106.061193,
sub-C005,hf,L,113,38.752495,-3.885753,34.738172,-4.336287,1358.920354,145.756961,
sub-C006,hf,L,106,36.354275,-7.456598,44.634714,-2.512727,1404.415094,115.201593,
sub-C007,hf,L,121,41.498295,-1.863983,43.499560,-0.276002,1303.132231,115.641900,
sub-C008,hf,L,107,36.694038,-5.705543,46.066630,-11.039962,1377.429907,114.459444,
sub-C009,hf,L,142,48.699417,-4.915746,38.711148,0.420190,1330.056338,118.550571,
sub-C010,hf,L,123,42.187435,-1.474448,33.631379,-2.735173,1285.772358,103.765089,
sub-C011,hf,L,140,48.016125,-5.106934,33.550123,2.119725,1338.178571,135.992608,
sub-C012,hf,L,112,38.409134,-3.723923,40.066897,-10.904726,1347.589286,113.874164,
sub-C013,hf,L,125,42.875000,-3.979548,34.790597,4.088996,1441.266143,163.728535,
sub-C014,hf,L,158,54.193996,-8.471950,36.649664,2.660033,1405.800998,153.751791,
sub-C015,hf,L,136,46.647999,-5.678359,38.975529,-4.437423,1259.087243,179.142877,
sub-C016,hf,L,90,30.869999,-6.878948,29.192019,-41.089906,1351.063745,80.707438,
sub-C017,hf,L,120,41.160000,-2.637980,37.449713,-7.088417,1446.324384,176.203830,
sub-C018,hf,L,157,53.850998,-2.869116,39.523938,0.493840,1368.983583,166.934865,
sub-C019,hf,L,141,48.362995,-5.380181,38.983912,-17.567407,1361.463163,190.555569,
sub-C020,hf,L,144,49.391998,-1.303189,34.170255,-4.757916,1333.902263,192.621411,
sub-C021,hf,L,150,51.450001,-8.396476,37.077940,-24.866466,1282.505340,151.317091,
sub-C022,hf,L,143,49.049000,-7.278809,29.579249,-19.120094,1290.104800,149.946974,
sub-C023,hf,L,130,44.590000,-8.197150,35.315285,-18.692736,1349.914749,146.595567,
sub-C024,hf,L,123,42.188995,-6.438210,28.678029,5.139763,1327.388061,140.737624,
sub-C025,hf,L,143,49.049000,-9.326446,37.492846,-14.312209,1335.751998,208.927301,
sub-C026,hf,L,131,44.932995,-2.651747,34.567744,1.210572,1346.440074,137.794000,
sub-C027,hf,L,117,40.131001,-4.964086,37.661620,-7.435786,1328.838219,177.003755,
sub-C028,hf,L,134,45.956287,-6.411170,43.442449,-3.181527,1300.649254,129.656299,
sub-C029,hf,L,146,50.077995,-6.806884,35.706943,-7.913164,1335.934692,186.255228,
sub-C030,hf,L,120,41.155781,-9.075206,41.979984,-5.743167,1304.625000,128.357043,
sub-C031,hf,L,118,40.473999,-1.850567,29.512976,-10.553774,1367.414701,152.357287,
sub-C032,hf,L,115,39.445000,-9.540544,29.492155,-3.124475,1247.770746,227.090467,
