subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hf,R,108,37.039394,7.025023,37.721597,11.730177,1353.416667,119.263795,
sub-C002,hf,R,148,50.755478,5.890540,33.820908,8.152293,1406.898649,122.427585,
sub-C003,hf,R,161,55.217945,7.712801,44.086960,-10.169260,1239.857143,74.186577,
sub-C004,hf,R,122,41.839886,7.775265,39.503208,25.145809,1378.090164,71.733207,
sub-C005,hf,R,110,37.723667,5.323370,36.456041,-4.898244,1255.463636,83.523625,
sub-C006,hf,R,110,37.726131,1.883515,44.938271,-2.059413,1390.545455,137.220417,
sub-C007,hf,R,135,46.299751,6.789062,43.132919,-0.693291,1251.844444,101.144559,
sub-C008,hf,R,121,41.495129,4.848427,46.329226,-11.444677,1319.239669,106.724804,
sub-C009,hf,R,131,44.926922,5.095211,38.532431,0.576600,1308.900763,103.132466,
sub-C010,hf,R,115,39.443539,9.230438,35.578448,-3.794431,1249.460870,83.306166,
sub-C011,hf,R,118,40.470734,4.753245,35.005443,1.987259,1247.932203,89.842952,
sub-C012,hf,R,117,40.123829,5.788080,40.441636,-10.265185,1333.085470,106.307343,
sub-C013,hf,R,119,40.816998,6.441296,36.009504,3.114797,1336.137778,103.988576,
sub-C014,hf,R,162,55.565998,2.124144,37.013329,1.626129,1340.086778,131.731715,
sub-C015,hf,R,135,46.305000,4.240529,38.197229,-5.025758,1208.501618,119.775370,
sub-C016,hf,R,94,32.241997,0.527006,29.489249,-41.449110,1366.862638,75.786159,
sub-C017,hf,R,108,37.043999,6.848054,38.123668,-6.895511,1296.374045,168.335699,
sub-C018,hf,R,154,52.821999,6.787769,40.589367,0.239737,1250.312807,101.992510,
sub-C019,hf,R,157,53.850998,6.209472,39.627270,-17.225098,1277.758854,152.073046,
sub-C020,hf,R,151,51.792999,9.562859,35.424873,-5.989046,1237.699577,120.227236,
sub-C021,hf,R,157,53.850998,2.933568,37.308055,-24.736021,1232.386137,121.455779,
sub-C022,hf,R,162,55.565998,3.780187,30.818391,-19.658972,1216.673841,111.698377,
sub-C023,hf,R,130,44.590000,1.899273,36.420567,-18.444656,1282.446991,98.472720,
sub-C024,hf,R,131,44.932995,5.417736,28.024467,5.132357,1257.612344,125.833875,
sub-C025,hf,R,154,52.821999,3.003382,38.792844,-15.292687,1301.769217,202.028240,
sub-C026,hf,R,138,47.333996,7.761998,36.808006,1.431999,1250.189087,88.909333,
sub-C027,hf,R,112,38.416000,6.661100,39.258967,-7.970084,1241.525301,111.208885,
sub-C028,hf,R,153,52.472481,6.049108,44.739063,-3.562306,1249.575163,106.476195,
sub-C029,hf,R,133,45.618999,6.630720,36.303045,-8.545140,1243.030800,127.641150,
sub-C030,hf,R,121,41.498745,2.530133,42.889513,-5.795356,1271.760331,117.673278,
sub-C031,hf,R,114,39.101997,8.382477,29.787022,-11.082741,1342.374012,92.311519,
sub-C032,hf,R,107,36.701000,1.442052,29.459089,-3.091786,1038.074485,94.971851,
