subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hfields,L,334,114.547768,-3.219171,38.249948,13.298365,1378.625749,122.399020,
sub-C002,hfields,L,399,136.834030,-4.239336,35.454693,9.852634,1423.092732,130.094955,
sub-C003,hfields,L,438,150.220245,-3.258743,44.104507,-8.682984,1289.579909,96.329772,
sub-C004,hfields,L,344,117.974762,-3.329476,39.932114,26.462954,1387.732558,92.246618,
sub-C005,hfields,L,294,100.825073,-5.312804,35.425708,-2.858207,1356.081633,134.989369,
sub-C006,hfields,L,314,107.690964,-8.959977,45.888306,-1.242818,1391.904459,109.690490,
sub-C007,hfields,L,371,127.238564,-3.243211,45.051514,0.980200,1284.603774,102.393791,
sub-C008,hfields,L,321,110.082115,-7.258086,47.359701,-9.531725,1369.535826,116.470166,
sub-C009,hfields,L,380,130.322388,-6.227436,40.214426,1.588969,1343.194737,112.918580,
sub-C010,hfields,L,341,116.958664,-2.602437,34.794817,-1.583571,1304.771261,104.219256,
sub-C011,hfields,L,375,128.614624,-6.564459,34.747788,3.169406,1334.242667,138.510187,
sub-C012,hfields,L,357,122.429108,-5.450567,41.172393,-9.611649,1330.022409,111.663215,
sub-C013,hfields,L,348,119.363991,-5.503043,35.863789,5.419668,1424.412789,144.292423,
sub-C014,hfields,L,505,173.214996,-10.266275,38.187119,4.293523,1406.728834,190.567906,
sub-C015,hfields,L,389,133.426987,-7.027849,40.509984,-3.131317,1253.462711,147.039086,
sub-C016,hfields,L,235,80.605003,-7.813595,30.103912,-39.986135,1351.273218,86.502274,
sub-C017,hfields,L,321,110.102997,-4.125332,38.403231,-5.781734,1407.967227,158.650139,
sub-C018,hfields,L,450,154.349991,-4.451172,41.023528,1.790618,1349.069663,135.526288,
sub-C019,hfields,L,418,143.374008,-7.231283,40.133550,-16.133483,1347.212314,171.359419,
sub-C020,hfields,L,405,138.914993,-2.777303,35.453339,-3.226094,1303.390422,157.655655,
sub-C021,hfields,L,448,153.664001,-10.073705,38.181579,-23.365141,1280.687709,139.986903,
sub-C022,hfields,L,429,147.146988,-9.028496,30.888130,-17.747994,1276.467023,129.937242,
sub-C023,hfields,L,369,126.566986,-9.797916,36.446889,-17.269345,1352.854413,121.481800,
sub-C024,hfields,L,363,124.508995,-7.960937,30.257955,6.281375,1311.628562,136.393369,
sub-C025,hfields,L,413,141.658997,-11.059667,38.935422,-13.080827,1320.136916,182.978806,
sub-C026,hfields,L,377,129.310989,-4.264596,35.434418,2.602138,1325.708162,109.337477,
sub-C027,hfields,L,333,114.218994,-6.537139,38.733211,-6.192143,1322.672713,152.948488,
sub-C028,hfields,L,394,135.125198,-8.175314,44.737723,-2.128117,1322.436548,122.272637,
sub-C029,hfields,L,387,132.740997,-8.475967,36.801687,-6.504113,1314.658745,149.407582,
sub-C030,hfields,L,335,114.893227,-10.589968,43.320845,-4.809549,1318.767164,127.563156,
sub-C031,hfields,L,346,118.677994,-3.275366,30.580413,-9.144841,1371.019261,129.919685,
sub-C032,hfields,L,332,113.875992,-11.081842,30.893273,-2.076200,1188.511179,178.228326,
