subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,hfields,R,317,108.717484,8.585508,38.916388,12.914220,1348.725552,112.950072,
sub-C002,hfields,R,393,134.776382,7.629153,35.273603,9.327706,1398.997455,105.202344,
sub-C003,hfields,R,450,154.335876,9.509580,45.491204,-8.869751,1247.257778,76.290678,
sub-C004,hfields,R,366,125.519653,9.341867,41.187284,26.531312,1382.912568,81.270986,
sub-C005,hfields,R,315,108.026855,6.842176,37.674434,-3.538428,1310.330159,116.380904,
sub-C006,hfields,R,314,107.690964,3.486021,46.192463,-0.823046,1402.601911,110.006175,
sub-C007,hfields,R,378,129.639297,8.404391,44.544745,0.537703,1268.904762,98.722994,
sub-C008,hfields,R,320,109.739189,6.602951,47.578844,-10.103520,1325.740625,104.142768,
sub-C009,hfields,R,367,125.863976,6.936680,39.812656,2.211051,1332.580381,97.971410,
sub-C010,hfields,R,331,113.528793,10.929010,36.806798,-2.502463,1267.021148,79.209941,
sub-C011,hfields,R,345,118.325455,6.137430,36.558080,3.256109,1271.150725,95.027997,
sub-C012,hfields,R,347,118.999725,7.361361,41.784518,-8.839018,1317.138329,99.070789,
sub-C013,hfields,R,346,118.677994,8.023028,37.456103,4.465138,1351.443099,94.046987,
sub-C014,hfields,R,509,174.586990,4.002321,38.329796,3.395674,1348.545498,125.257474,
sub-C015,hfields,R,384,131.711990,5.906221,39.467837,-3.952487,1219.903237,120.168979,
sub-C016,hfields,R,255,87.464996,1.770551,30.246863,-40.324745,1362.275637,79.759247,
sub-C017,hfields,R,324,111.131996,8.473656,39.342284,-5.298177,1300.392265,121.164714,
sub-C018,hfields,R,474,162.582001,8.692922,42.075304,1.543521,1268.044999,85.843243,
sub-C019,hfields,R,447,153.320999,8.165739,40.883219,-15.552004,1291.845029,138.162738,
sub-C020,hfields,R,444,152.291992,11.703946,37.075516,-4.837311,1244.878383,149.744208,
sub-C021,hfields,R,447,153.320999,4.682684,38.414895,-23.159537,1249.335581,107.135451,
sub-C022,hfields,R,441,151.262985,5.611893,32.300956,-18.307516,1225.312104,102.351653,
sub-C023,hfields,R,404,138.571991,3.706866,37.804907,-16.874280,1301.704027,92.962854,
sub-C024,hfields,R,362,124.165993,7.423552,29.266762,6.248765,1280.019115,112.836371,
sub-C025,hfields,R,417,143.030991,4.812903,40.335124,-14.047316,1291.074885,154.397783,
sub-C026,hfields,R,399,136.856995,9.271956,38.186370,2.902054,1269.349981,97.032270,
sub-C027,hfields,R,322,110.445999,8.273308,40.703319,-6.827690,1253.094182,114.204564,
sub-C028,hfields,R,415,142.327301,7.800459,46.187267,-2.385022,1267.113253,91.480835,
sub-C029,hfields,R,381,130.682983,8.595933,37.501190,-7.125395,1256.134763,110.944955,
sub-C030,hfields,R,315,108.033928,4.074608,44.235496,-4.597814,1296.758730,115.401565,
sub-C031,hfields,R,304,104.272003,10.014202,30.832677,-9.836296,1355.096732,89.126208,
sub-C032,hfields,R,316,108.387993,3.239689,30.647851,-2.002632,1066.711504,88.621645,
