subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ml,L,89,30.523207,-5.922660,26.170801,11.929730,1401.359551,91.384707,
sub-C002,ml,L,102,34.980129,-7.180045,22.708606,9.211498,1529.225490,106.196708,
sub-C003,ml,L,107,36.697639,-5.600162,30.348801,-11.208850,1340.467290,82.319479,
sub-C004,ml,L,91,31.208441,-4.565096,27.628592,25.853323,1506.978022,97.980948,
sub-C005,ml,L,86,29.493048,-7.531080,24.320192,-5.168602,1414.534884,91.218251,
sub-C006,ml,L,77,26.408295,-10.844105,33.891310,-3.437529,1476.181818,104.885367,
sub-C007,ml,L,98,33.610188,-5.681368,33.004875,0.611694,1400.244898,116.115661,
sub-C008,ml,L,71,24.348383,-9.018870,35.930382,-11.865714,1435.098592,100.190697,
sub-C009,ml,L,95,32.580597,-8.768445,28.176859,-0.520490,1446.726316,97.118752,
sub-C010,ml,L,85,29.153917,-5.450395,22.853520,-4.362580,1412.223529,72.837944,
sub-C011,ml,L,90,30.867510,-7.900516,22.061201,1.301436,1416.411111,107.918081,
sub-C012,ml,L,79,27.092155,-7.495733,29.390036,-12.673010,1396.316456,81.999929,
sub-C013,ml,L,106,36.357998,-6.809549,24.212665,4.513173,1389.202420,75.279603,
sub-C014,ml,L,107,36.701000,-12.363963,26.038389,0.755282,1398.259342,104.311221,
sub-C015,ml,L,90,30.869999,-10.161227,27.705314,-4.942100,1304.484003,81.417087,
sub-C016,ml,L,52,17.835999,-10.311033,18.329457,-37.855954,1769.714452,459.086984,
sub-C017,ml,L,79,27.096998,-6.458003,26.824503,-9.897127,1371.641055,85.268952,
sub-C018,ml,L,98,33.613998,-7.388190,27.545506,-0.817836,1378.090739,75.446380,
sub-C019,ml,L,101,34.642998,-8.619546,28.664010,-19.678337,1306.214265,79.835570,
sub-C020,ml,L,100,34.299999,-4.967438,22.383616,-5.909734,1335.632969,79.427691,
sub-C021,ml,L,97,33.271000,-12.141667,26.781270,-28.301058,1334.836802,77.683892,
sub-C022,ml,L,118,40.473999,-11.790567,18.692202,-19.820345,1294.206343,74.260139,
sub-C023,ml,L,90,30.869999,-10.953782,24.618273,-21.430575,1398.488234,69.517712,
sub-C024,ml,L,98,33.613998,-10.771112,18.292448,3.835485,1350.910140,80.171338,
sub-C025,ml,L,87,29.840998,-12.778026,26.147077,-17.396079,1346.305724,81.654241,
sub-C026,ml,L,86,29.497999,-6.428090,23.550410,-1.186341,1397.243151,68.195690,
sub-C027,ml,L,86,29.497999,-8.135409,27.116889,-7.341852,1340.410355,66.222551,
sub-C028,ml,L,92,31.552080,-9.760763,31.809186,-3.981532,1432.500000,78.077096,
sub-C029,ml,L,91,31.212999,-9.898099,24.925721,-10.199539,1348.010654,68.689562,
sub-C030,ml,L,69,23.664574,-11.988744,31.229587,-7.141012,1420.594203,89.800648,
sub-C031,ml,L,84,28.812000,-5.914884,19.180027,-11.332141,1441.344555,96.426101,
sub-C032,ml,L,82,28.125998,-12.806926,19.528861,-3.452024,1200.866119,116.518567,
