subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,ml,R,66,22.635187,10.825953,27.047973,11.778287,1408.030303,81.422161,
sub-C002,ml,R,77,26.406567,9.503591,22.258797,8.506185,1490.194805,79.565934,
sub-C003,ml,R,83,28.466393,13.151174,32.207879,-11.487599,1333.518072,76.546393,
sub-C004,ml,R,76,26.064194,12.327193,29.394231,26.044933,1454.736842,94.653525,
sub-C005,ml,R,69,23.663027,10.319897,27.189763,-6.081556,1360.376812,104.590532,
sub-C006,ml,R,56,19.206032,5.817830,34.198835,-2.907879,1468.178571,79.433473,
sub-C007,ml,R,84,28.808735,10.942662,32.766991,0.173947,1323.619048,85.471746,
sub-C008,ml,R,63,21.604900,8.541774,36.213969,-12.441869,1386.142857,91.691252,
sub-C009,ml,R,68,23.320848,8.914724,27.881737,-0.536490,1403.455882,87.912513,
sub-C010,ml,R,68,23.323135,13.184318,25.251781,-5.672670,1347.985294,92.563087,
sub-C011,ml,R,70,24.008062,9.804711,24.528889,1.544912,1354.685714,90.508634,
sub-C012,ml,R,67,22.976891,10.007161,29.940433,-11.318761,1341.223881,82.482472,
sub-C013,ml,R,75,25.725000,10.804007,26.476132,3.113716,1393.698416,85.539528,
sub-C014,ml,R,89,30.527000,5.606646,25.854984,0.311663,1427.382678,86.289760,
sub-C015,ml,R,76,26.068001,7.088960,26.601116,-6.141912,1311.692248,96.615985,
sub-C016,ml,R,50,17.150000,5.388865,18.911691,-38.938218,1839.772375,448.928795,
sub-C017,ml,R,69,23.666998,10.842665,27.698974,-9.197236,1341.588292,80.375039,
sub-C018,ml,R,82,28.125998,10.820875,28.402166,-1.002075,1378.432520,74.189113,
sub-C019,ml,R,85,29.154999,10.256459,29.317574,-18.966124,1273.667697,73.593767,
sub-C020,ml,R,78,26.753998,13.925971,24.082224,-8.252424,1332.697580,74.682778,
sub-C021,ml,R,86,29.497999,7.244798,26.990063,-28.125684,1296.133873,78.449289,
sub-C022,ml,R,91,31.212999,8.936523,20.589155,-20.473662,1259.867453,72.926121,
sub-C023,ml,R,70,24.009998,6.323273,25.974144,-20.841596,1403.011014,71.609241,
sub-C024,ml,R,75,25.725000,9.155051,16.958996,3.444150,1339.856587,77.781200,
sub-C025,ml,R,75,25.725000,6.779070,28.001259,-17.530922,1299.730659,76.442810,
sub-C026,ml,R,73,25.038998,12.927712,26.686861,-0.951200,1363.217889,70.684776,
sub-C027,ml,R,72,24.695999,11.376834,29.134704,-7.906788,1314.730143,58.403821,
sub-C028,ml,R,89,30.523207,11.277459,33.691844,-4.649848,1357.640449,61.898055,
sub-C029,ml,R,78,26.753998,11.086065,25.728851,-10.653433,1280.303409,64.742225,
sub-C030,ml,R,56,19.206032,7.753868,32.420215,-6.953522,1385.892857,78.183160,
sub-C031,ml,R,69,23.666998,11.806695,19.441848,-12.739957,1437.165865,98.863738,
sub-C032,ml,R,76,26.068001,5.219717,19.341441,-3.634700,1016.074693,33.329909,
