subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,rZI,R,341,116.948463,8.825906,39.965852,11.897839,1441.026393,147.882572,
sub-C002,rZI,R,400,137.176971,7.766820,36.003701,7.960697,1505.305000,210.044254,
sub-C003,rZI,R,446,152.963974,9.532687,46.486589,-10.326420,1350.905830,148.042433,
sub-C004,rZI,R,399,136.837006,9.174896,41.887117,25.177918,1464.075188,146.447340,
sub-C005,rZI,R,332,113.856880,6.955145,38.588049,-4.745489,1444.650602,187.178038,
sub-C006,rZI,R,329,112.835442,3.487415,47.100810,-1.867531,1513.908815,182.921975,
sub-C007,rZI,R,386,132.382980,8.735885,45.199270,-0.788814,1379.018135,155.349968,
sub-C008,rZI,R,355,121.741905,6.538306,48.529630,-11.066269,1418.422535,180.001935,
sub-C009,rZI,R,427,146.441208,6.883546,41.015221,0.857483,1455.969555,235.791986,
sub-C010,rZI,R,364,124.847374,10.708692,38.312949,-3.479446,1366.717033,178.775093,
sub-C011,rZI,R,368,126.213821,6.153253,37.708936,2.187925,1401.665761,154.215903,
sub-C012,rZI,R,358,122.772049,7.432733,42.841814,-9.853813,1440.594972,165.868534,
sub-C013,rZI,R,348,119.363991,7.962961,38.364767,3.184061,1471.435611,183.528394,
sub-C014,rZI,R,501,171.842987,3.749405,39.793477,2.396238,1468.331007,201.869127,
sub-C015,rZI,R,410,140.629990,6.116324,40.329011,-5.002645,1313.557444,166.221052,
sub-C016,rZI,R,288,98.783997,1.643633,31.198324,-41.499856,1307.857653,77.126554,
sub-C017,rZI,R,352,120.735992,8.333274,40.429905,-6.182219,1415.464305,181.943249,
sub-C018,rZI,R,507,173.900986,8.481374,43.149781,0.264951,1392.624057,176.060368,
sub-C019,rZI,R,473,162.238998,7.999660,42.123714,-16.531053,1370.990821,185.741368,
sub-C020,rZI,R,484,166.011993,11.476096,37.894512,-5.869308,1362.897201,208.889541,
sub-C021,rZI,R,496,170.127975,4.655417,39.632372,-24.107185,1369.690354,180.184271,
sub-C022,rZI,R,472,161.895996,5.571005,33.399186,-19.451262,1321.547120,174.462117,
sub-C023,rZI,R,430,147.489990,3.529233,38.885101,-17.842856,1382.492841,150.660009,
sub-C024,rZI,R,375,128.625000,7.257448,30.472278,5.265857,1388.749466,176.707099,
sub-C025,rZI,R,437,149.890991,4.754692,41.664448,-14.716092,1358.347427,206.518293,
sub-C026,rZI,R,416,142.687988,9.314584,39.157725,1.844424,1399.499699,197.538562,
sub-C027,rZI,R,355,121.764999,8.014165,41.747419,-7.724919,1379.164844,184.597778,
sub-C028,rZI,R,440,150.901245,7.875164,47.234524,-3.398478,1399.386364,216.647212,
sub-C029,rZI,R,422,144.746002,8.543101,38.692083,-7.971587,1389.079721,197.302441,
sub-C030,rZI,R,332,113.864326,3.872586,45.099844,-5.529069,1385.123494,175.023520,
sub-C031,rZI,R,337,115.590988,10.014801,31.824813,-10.977208,1449.182136,161.207166,
sub-C032,rZI,R,342,117.305992,3.170088,31.779294,-3.029192,1151.640312,124.112574,
