subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,RN,L,834,286.026428,-1.895928,30.934928,7.861767,1320.356115,79.204093,
sub-C002,RN,L,870,298.359894,-3.231092,26.266527,4.625301,1382.740230,96.307305,
sub-C003,RN,L,1048,359.431061,-1.478700,35.332761,-14.815340,1224.785305,77.583345,
sub-C004,RN,L,768,263.385498,-0.786950,31.441082,20.930324,1315.384115,78.060917,
sub-C005,RN,L,771,264.408630,-3.700455,29.022689,-8.914882,1281.783398,81.110737,
sub-C006,RN,L,734,251.736191,-7.091800,38.194172,-6.896454,1369.722071,92.123318,
sub-C007,RN,L,900,308.665009,-1.621113,36.079122,-4.271855,1286.055556,81.793380,
sub-C008,RN,L,761,260.973511,-5.078170,40.127884,-15.792176,1277.888305,78.720922,
sub-C009,RN,L,823,282.250854,-4.603980,32.227807,-4.523609,1260.605103,84.486848,
sub-C010,RN,L,779,267.187103,-0.897732,28.520451,-7.751592,1218.969191,75.976905,
sub-C011,RN,L,887,304.216431,-3.975335,26.740058,-2.251241,1239.317926,80.569182,
sub-C012,RN,L,777,266.463348,-3.246276,33.873370,-15.743423,1302.537967,83.131503,
sub-C013,RN,L,863,296.008972,-3.104654,28.178003,-0.047192,1293.787958,80.629479,
sub-C014,RN,L,937,321.390991,-7.852581,30.539629,-3.371962,1275.974968,96.373202,
sub-C015,RN,L,891,305.613007,-5.813743,31.659997,-9.211901,1164.056985,77.520610,
sub-C016,RN,L,626,214.717987,-6.900816,23.254334,-43.047012,1386.165234,76.942753,
sub-C017,RN,L,733,251.418991,-2.310736,31.804348,-12.422568,1255.663115,78.396999,
sub-C018,RN,L,926,317.617981,-2.926311,32.517255,-4.832723,1264.578054,88.791512,
sub-C019,RN,L,860,294.979980,-4.281080,32.938909,-22.896471,1185.779968,85.540661,
sub-C020,RN,L,980,336.139984,-1.147461,26.885454,-9.733709,1171.501159,105.031149,
sub-C021,RN,L,982,336.825958,-7.606140,31.732421,-31.225555,1217.174431,77.114392,
sub-C022,RN,L,938,321.733978,-6.970686,23.014168,-23.895129,1185.511188,78.583757,
sub-C023,RN,L,827,283.660980,-7.292456,29.693802,-24.330823,1245.626704,84.888753,
sub-C024,RN,L,814,279.201996,-5.992620,22.136919,0.563166,1263.280202,77.192676,
sub-C025,RN,L,862,295.665985,-8.437896,30.702723,-20.045839,1170.759839,85.742693,
sub-C026,RN,L,857,293.950958,-2.066107,28.685008,-4.322605,1260.044966,77.566862,
sub-C027,RN,L,835,286.404999,-4.107756,31.198070,-11.481799,1239.166496,79.991439,
sub-C028,RN,L,895,306.946838,-5.011331,36.702656,-7.656955,1256.822346,71.521580,
sub-C029,RN,L,930,318.989990,-5.363613,29.395024,-13.451664,1232.389100,86.906424,
sub-C030,RN,L,705,241.790207,-7.311470,35.438253,-10.218765,1240.958865,73.014182,
sub-C031,RN,L,794,272.341980,-1.656594,23.543179,-15.439586,1341.665161,75.702787,
sub-C032,RN,L,700,240.099991,-8.509716,23.420818,-6.928278,1075.136548,106.357582,
