subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,RN,R,813,278.824341,6.721014,31.331266,7.834641,1313.832718,76.984158,
sub-C002,RN,R,923,316.535858,5.480141,26.511664,4.319451,1357.556880,108.081213,
sub-C003,RN,R,1092,374.521667,7.921671,36.391448,-14.712735,1206.606227,71.037581,
sub-C004,RN,R,805,276.074646,7.747612,32.467266,21.226925,1322.706832,76.715317,
sub-C005,RN,R,734,251.719727,5.214617,30.602782,-9.325448,1284.004087,70.507118,
sub-C006,RN,R,729,250.021378,1.522615,38.481836,-6.247019,1349.282579,86.230825,
sub-C007,RN,R,917,314.495331,6.636078,35.924547,-4.339764,1267.008724,70.492342,
sub-C008,RN,R,788,270.232727,3.953990,40.130725,-16.021503,1248.615482,79.885246,
sub-C009,RN,R,846,290.138794,4.485041,32.046932,-4.169703,1252.615839,85.435329,
sub-C010,RN,R,783,268.559021,8.190979,29.787253,-8.445981,1204.112388,75.124229,
sub-C011,RN,R,868,297.699982,4.920937,27.999450,-2.126292,1215.279954,78.900072,
sub-C012,RN,R,779,267.149231,5.638039,34.245223,-14.914432,1272.677792,71.273867,
sub-C013,RN,R,818,280.573975,6.163555,29.416079,-0.633050,1298.407001,82.405663,
sub-C014,RN,R,933,320.018982,1.236703,30.595470,-3.734336,1254.392539,100.434251,
sub-C015,RN,R,927,317.960968,3.040586,31.171631,-9.500072,1146.509858,80.535476,
sub-C016,RN,R,628,215.403992,0.474605,23.517154,-43.397844,1388.372431,68.307776,
sub-C017,RN,R,728,249.703995,6.157540,32.312472,-12.128420,1244.620070,74.053424,
sub-C018,RN,R,1014,347.801971,5.804769,33.276212,-4.905430,1227.918279,78.970189,
sub-C019,RN,R,898,308.013977,5.495120,33.297041,-22.298661,1177.625819,78.684843,
sub-C020,RN,R,1001,343.342987,8.235330,27.889410,-10.554541,1157.864229,82.205277,
sub-C021,RN,R,978,335.453979,2.220440,31.849777,-30.952363,1206.082574,81.430090,
sub-C022,RN,R,997,341.970978,3.251405,23.964559,-24.089032,1173.238156,71.061443,
sub-C023,RN,R,811,278.173004,1.391170,30.275109,-23.988108,1226.264016,86.040523,
sub-C024,RN,R,824,282.631989,4.372570,21.511381,0.331554,1234.893722,73.458565,
sub-C025,RN,R,881,302.182983,1.864960,31.754474,-20.397988,1166.490936,79.264067,
sub-C026,RN,R,915,313.845001,7.594350,30.504849,-4.134198,1246.742151,79.809987,
sub-C027,RN,R,884,303.211975,6.159292,32.372570,-11.488676,1234.748777,78.643587,
sub-C028,RN,R,990,339.527802,5.668140,37.859738,-8.056317,1214.433333,71.540503,
sub-C029,RN,R,974,334.081970,5.602436,29.717190,-13.786675,1178.079129,73.344120,
sub-C030,RN,R,744,255.165848,2.294977,36.023022,-10.054195,1215.474462,77.972003,
sub-C031,RN,R,805,276.114990,7.135641,23.684701,-15.833448,1343.718685,72.368186,
sub-C032,RN,R,727,249.360977,0.610905,23.327999,-6.862062,1002.707965,45.000578,
