subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,STN,L,301,103.230164,-6.718720,36.490582,10.449723,1258.172757,99.225854,
sub-C002,STN,L,428,146.779358,-8.116115,32.617250,6.875275,1300.810748,100.048369,
sub-C003,STN,L,492,168.740540,-7.045805,41.471015,-12.120148,1183.000000,89.318465,
sub-C004,STN,L,399,136.837006,-6.367873,36.692900,23.435914,1229.157895,96.138184,
sub-C005,STN,L,325,111.456291,-9.231705,33.322442,-5.611237,1238.772308,90.070157,
sub-C006,STN,L,340,116.608047,-12.461935,43.501059,-4.263196,1272.073529,86.083296,
sub-C007,STN,L,444,152.274719,-7.062156,42.619999,-2.116908,1193.031532,93.092269,
sub-C008,STN,L,359,123.113647,-10.446207,45.251665,-12.659909,1194.047354,104.548353,
sub-C009,STN,L,411,140.953934,-9.905210,37.985274,-1.458849,1204.352798,95.620539,
sub-C010,STN,L,350,120.045547,-6.391655,32.807458,-4.192867,1185.697143,96.362881,
sub-C011,STN,L,399,136.845963,-10.047934,32.313044,0.278912,1195.719298,135.364635,
sub-C012,STN,L,357,122.429108,-9.085431,39.094093,-12.951623,1234.392157,102.529074,
sub-C013,STN,L,345,118.334999,-8.801208,33.503862,2.588141,1273.047176,93.306065,
sub-C014,STN,L,440,150.919998,-13.688625,36.144937,0.655241,1211.590151,97.061642,
sub-C015,STN,L,412,141.315994,-10.460211,38.261999,-6.480635,1116.460858,89.927820,
sub-C016,STN,L,292,100.155991,-11.252999,27.994802,-41.915642,1318.291313,81.733548,
sub-C017,STN,L,339,116.277000,-7.547323,36.344647,-9.039163,1198.935458,94.414905,
sub-C018,STN,L,512,175.615997,-8.024510,38.492360,-1.590661,1169.694204,99.918857,
sub-C019,STN,L,409,140.286987,-10.541464,38.325086,-19.897485,1161.884892,99.285023,
sub-C020,STN,L,438,150.233994,-7.069284,32.744572,-6.146154,1109.098138,103.624551,
sub-C021,STN,L,456,156.407990,-13.836655,36.815582,-27.328862,1149.775798,88.354800,
sub-C022,STN,L,481,164.982986,-13.272279,28.437014,-21.014060,1130.391331,91.374467,
sub-C023,STN,L,400,137.199997,-13.033527,34.525875,-20.841145,1203.907426,87.332850,
sub-C024,STN,L,389,133.426987,-12.238689,28.024965,3.056687,1178.907768,102.849302,
sub-C025,STN,L,415,142.344986,-14.994629,36.316669,-16.583942,1134.228649,100.261562,
sub-C026,STN,L,431,147.832993,-8.049787,33.127272,-0.776762,1198.296307,92.780060,
sub-C027,STN,L,339,116.277000,-10.177655,36.439359,-8.907313,1191.272093,84.869734,
sub-C028,STN,L,462,158.446304,-11.957383,41.800310,-5.061997,1183.292208,99.581462,
sub-C029,STN,L,370,126.910004,-11.944820,35.154741,-9.665123,1174.590407,97.024643,
sub-C030,STN,L,364,124.839211,-13.626245,40.804844,-7.894265,1154.467033,94.276637,
sub-C031,STN,L,364,124.851997,-6.887169,28.739286,-12.125894,1242.772462,98.483119,
sub-C032,STN,L,297,101.870995,-14.306394,28.913319,-4.858482,1133.885297,516.288431,
