subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,STN,R,304,104.259048,11.937865,37.036934,10.141408,1255.648026,83.930219,
sub-C002,STN,R,380,130.318115,11.124323,32.752957,6.186777,1284.526316,82.521297,
sub-C003,STN,R,451,154.678833,13.119453,43.578720,-12.606351,1161.130820,71.208384,
sub-C004,STN,R,383,131.349808,12.761583,38.873784,23.598088,1227.785901,80.306064,
sub-C005,STN,R,321,110.084518,10.460860,36.483770,-6.736024,1216.825545,85.771539,
sub-C006,STN,R,326,111.806534,6.866062,44.090244,-3.555545,1279.365031,67.807319,
sub-C007,STN,R,363,124.494881,12.101425,42.163125,-2.612572,1193.225895,75.900441,
sub-C008,STN,R,332,113.854401,9.670871,45.608251,-13.203296,1171.602410,71.554250,
sub-C009,STN,R,375,128.607620,10.249706,37.813952,-1.084674,1207.045333,84.885771,
sub-C010,STN,R,327,112.156837,13.903379,35.477225,-5.719544,1149.850153,64.154761,
sub-C011,STN,R,347,119.011398,9.902768,34.722013,0.405280,1155.190202,78.069804,
sub-C012,STN,R,336,115.227402,10.888349,39.754312,-11.693282,1193.294643,78.718615,
sub-C013,STN,R,339,116.277000,11.519498,35.508600,1.361884,1255.664167,70.676032,
sub-C014,STN,R,408,139.944000,7.414755,35.959189,-0.284120,1205.327537,82.486076,
sub-C015,STN,R,404,138.571991,9.077849,36.714562,-7.221704,1099.211952,69.533472,
sub-C016,STN,R,280,96.039993,5.200449,28.056449,-42.613141,1318.427972,76.895891,
sub-C017,STN,R,325,111.474998,11.698924,37.362633,-8.416758,1176.764529,70.157347,
sub-C018,STN,R,480,164.639999,11.630874,39.624376,-2.158235,1155.150758,81.658360,
sub-C019,STN,R,408,139.944000,11.740993,38.900280,-19.000144,1132.718041,76.107819,
sub-C020,STN,R,453,155.378998,15.228837,34.708949,-8.507580,1086.716366,72.638634,
sub-C021,STN,R,430,147.489990,8.544924,37.128395,-27.045173,1137.880707,61.717017,
sub-C022,STN,R,419,143.716980,9.487327,30.633362,-21.981438,1126.578036,75.430482,
sub-C023,STN,R,413,141.658997,6.827551,36.113024,-20.409183,1187.101887,64.148461,
sub-C024,STN,R,335,114.904991,10.947702,26.828126,2.720763,1165.822664,64.002057,
sub-C025,STN,R,367,125.880989,8.218645,38.352471,-17.528441,1129.541169,79.848874,
sub-C026,STN,R,394,135.141983,12.990844,36.667914,-0.479015,1176.182635,63.884193,
sub-C027,STN,R,293,100.498993,12.011745,38.836446,-9.572187,1158.044032,65.712888,
sub-C028,STN,R,398,136.497040,11.826693,44.088161,-5.489109,1168.919598,74.467267,
sub-C029,STN,R,334,114.562004,11.809927,36.104034,-10.562609,1141.518800,69.168007,
sub-C030,STN,R,329,112.835442,7.465997,42.309361,-7.557757,1154.051672,71.738391,
sub-C031,STN,R,340,116.619995,13.081899,29.042066,-13.207539,1224.005937,66.013274,
sub-C032,STN,R,282,96.725990,6.301855,28.628383,-4.934218,992.211067,46.388450,
